run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
A_ample_none_i0,A,,ample,none,0,M,1.7639604410626386,1.7639604410626386,3.2707069731673757,2.695548633080758,0.042452920087552574,5.0,0.042452920087552574,5.0,0.0,296.905853800404,8.629978079723198,nan,nan,11.126887163794759,8.629978079723198,0.0,0.0,1.7639604410626386,0.0,26.073260511149797,59.88954600613805,210.94304728311613,0.0
A_ample_none_i0,A,,ample,none,0,R,1.4168584456445408,1.4168584456445408,0.1295637437052754,1.8398468027651362,0.05125885366235952,5.0,0.05125885366235952,5.0,0.0,287.40246981072966,8.629978079723198,29.98014549760371,16.518770320524435,nan,8.629978079723198,0.0,0.0,1.4168584456445408,0.0,21.795951285057228,54.467025486914864,211.13949303875756,0.0
A_ample_none_i0,A,,ample,none,0,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,3.0,0.025187499999999908,3.0,0.0,288.60536708812697,11.126887163794759,29.98014549760371,nan,11.126887163794759,nan,0.0,0.0,0.0,0.0,21.991434035977505,54.19813547027434,212.41579758187513,0.0
A_ample_none_i0,A,,ample,none,0,B,0.0,0.0,0.11843183326217006,0.6847910843253772,0.007721330492195478,2.0,0.007721330492195478,2.0,0.0,293.0836994902052,16.518770320524435,nan,16.518770320524435,nan,nan,0.0,0.0,0.0,0.0,21.772468930659564,55.36761328828175,215.94361727126392,0.0
A_ample_none_i1,A,,ample,none,1,M,0.0,0.0,2.539418911665765,4.2789849546025565,0.37067224459706666,11.0,0.37067224459706666,11.0,0.0,301.50502045679326,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.40311304571631,0.0,0.0,202.10190741107695
A_ample_none_i1,A,,ample,none,1,R,0.009744353676458496,0.009744353676458496,0.21520714258281265,1.5357648847214984,0.030070049236108082,4.0,0.030070049236108082,4.0,0.0,295.5807527505958,19.658754488362046,23.224614337531147,19.658754488362046,nan,nan,0.007517281359941564,0.0,0.0,0.0022270723165169317,88.0138909887433,0.0,0.0,207.56686176185252
A_ample_none_i1,A,,ample,none,1,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,3.0,0.025187499999999908,3.0,0.0,288.60536708812697,23.224614337531147,23.224614337531147,nan,nan,nan,0.0,0.0,0.0,0.0,87.89638487964936,0.0,0.0,200.7089822084776
A_ample_none_i1,A,,ample,none,1,B,0.0,0.0,0.12865191655083508,0.8472786142364979,0.012090571663026777,2.0,0.012090571663026777,2.0,0.0,298.1219982622338,19.658754488362046,nan,19.658754488362046,nan,nan,0.0,0.0,0.0,0.0,89.20716331800851,0.0,0.0,208.91483494422528
A_ample_none_i2,A,,ample,none,2,M,2.6119933708067498,2.6119933708067498,3.1992659978480344,2.8402366928076863,0.07829918739259095,6.0,0.07829918739259095,6.0,0.0,296.9455411261251,8.548826578804675,nan,nan,9.738443051226039,8.548826578804675,0.0,0.0,0.0,2.6119933708067498,39.877929893198754,57.92633038897823,0.0,199.1412808439481
A_ample_none_i2,A,,ample,none,2,R,3.2796381169955824,3.2796381169955824,0.6303874698118325,2.7987901314657653,0.20577074771718967,8.0,0.20577074771718967,8.0,0.0,285.6570906526535,8.548826578804675,27.171176546141435,16.489086816733742,nan,8.548826578804675,0.312316708749284,0.0,0.0,2.967321408246298,33.1593001097319,53.78251576866273,0.0,198.71527477425886
A_ample_none_i2,A,,ample,none,2,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,3.0,0.025187499999999908,3.0,0.0,288.60536708812697,9.738443051226039,27.171176546141435,nan,9.738443051226039,nan,0.0,0.0,0.0,0.0,33.783725746730994,53.21226042000461,0.0,201.60938092139136
A_ample_none_i2,A,,ample,none,2,B,0.1820618899573571,0.1820618899573571,0.2360842918466117,0.7959947112384946,0.0073672113606861635,2.0,0.0073672113606861635,2.0,0.0,291.86800383591975,16.489086816733742,nan,16.489086816733742,nan,nan,0.1820618899573571,0.0,0.0,0.0,33.20320424057792,54.40404558893948,0.0,204.26075400640235
A_ample_prepare_i0,A,,ample,prepare,0,M,2.049515937521009,2.049515937521009,3.928450762453795,2.7575457956745635,0.01206445312499993,2.0,0.01206445312499993,2.0,0.0,295.5785332182394,8.629978079723198,nan,nan,10.910263098475905,8.629978079723198,0.0,0.0,2.049515937521009,0.0,26.073260511149797,59.11348972037335,210.39178298671624,0.0
A_ample_prepare_i0,A,,ample,prepare,0,R,2.591129677057642,2.591129677057642,0.6016565441763997,3.032503087235795,0.03684498273452284,4.0,0.03684498273452284,4.0,0.0,285.7729311921356,8.629978079723198,29.703391392859654,16.3030036092979,nan,8.629978079723198,0.0,0.8284727187444585,1.7626569583131828,0.0,21.795951285057228,53.332809916075334,210.64416999100305,0.0
A_ample_prepare_i0,A,,ample,prepare,0,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,32.0,1.1736736003854564,32.0,0.0,287.2780981441186,10.910263098475905,29.703391392859654,nan,10.910263098475905,nan,0.0,1.054390748590451,0.10009889958162431,0.0,21.991434035977505,52.98463590610646,212.30202820203462,0.0
A_ample_prepare_i0,A,,ample,prepare,0,B,0.0,0.0,0.10989994901093943,0.8708435466111175,0.007721330492195478,2.0,0.007721330492195478,2.0,0.0,291.6699275828377,16.3030036092979,nan,16.3030036092979,nan,nan,0.0,0.0,0.0,0.0,21.772468930659564,55.070028226560886,214.82743042561728,0.0
A_ample_prepare_i1,A,,ample,prepare,1,M,0.0,0.0,2.71524097946,4.3331450667288465,0.3590264119960727,9.0,0.3590264119960727,9.0,0.0,299.95935871734827,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.27833060744484,0.0,0.0,200.68102810990342
A_ample_prepare_i1,A,,ample,prepare,1,R,1.2397779084113858,1.2397779084113858,0.8482766668252423,2.9229104909292443,0.015598878504555668,3.0,0.015598878504555668,3.0,0.0,293.7595568242112,19.348803602559666,23.7185413199074,19.348803602559666,nan,nan,1.1474390690926295,0.0,0.0,0.09233883931875618,87.55411529162487,0.0,0.0,206.20544153258632
A_ample_prepare_i1,A,,ample,prepare,1,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,32.0,1.1736736003854564,32.0,0.0,287.2780981441186,23.7185413199074,23.7185413199074,nan,nan,nan,1.0999943036891098,0.0,0.0,0.05449534448296536,87.53143546253116,0.0,0.0,199.74666268158742
A_ample_prepare_i1,A,,ample,prepare,1,B,0.0,0.0,0.17307482660298526,1.1699294834158496,0.012090571663026777,2.0,0.012090571663026777,2.0,0.0,296.6107532216515,19.348803602559666,nan,19.348803602559666,nan,nan,0.0,0.0,0.0,0.0,89.64748417803428,0.0,0.0,206.96326904361723
A_ample_prepare_i2,A,,ample,prepare,2,M,2.7970853372153144,2.7970853372153144,3.7424897096962852,2.9559246273193307,0.013640352511654536,3.0,0.013640352511654536,3.0,0.0,295.57084705295085,8.559753778127142,nan,nan,9.654265848965291,8.559753778127142,0.0,0.0,0.0,2.7970853372153144,39.872792680150496,57.79321019089414,0.0,197.9048441819062
A_ample_prepare_i2,A,,ample,prepare,2,R,4.116423838529028,4.116423838529028,0.8893664005002555,3.8023743940984764,0.20214543705672613,7.0,0.20214543705672613,7.0,0.0,284.08295217531304,8.559753778127142,27.06300154552134,16.231558880699207,nan,8.559753778127142,0.312316708749284,0.6883632518983533,0.0,3.115743877881388,33.146021940569426,53.354652942638154,0.0,197.58227729210546
A_ample_prepare_i2,A,,ample,prepare,2,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,32.0,1.1736736003854564,32.0,0.0,287.2780981441187,9.654265848965291,27.06300154552134,nan,9.654265848965291,nan,0.04156799508856324,1.0560072979918937,0.0,0.05691435509161825,33.68283992263321,52.95096314653122,0.0,200.64429507495427
A_ample_prepare_i2,A,,ample,prepare,2,B,0.1820618899573571,0.1820618899573571,0.17302021454343747,0.8278089083170775,0.0073672113606861635,2.0,0.0073672113606861635,2.0,0.0,290.55139329461383,16.231558880699207,nan,16.231558880699207,nan,nan,0.1820618899573571,0.0,0.0,0.0,33.2029288948862,54.92405420906809,0.0,202.42441019065953
A_collaborative_none_i0,A,,collaborative,none,0,M,0.126977512415196,0.126977512415196,3.635860544093308,3.9498115112593153,0.974348160691758,17.0,0.974348160691758,17.0,0.0,293.93020976240985,nan,nan,nan,nan,nan,0.015083559075280917,0.0,0.0,0.11189395333991509,94.23994797981163,0.0,0.0,199.6902617825982
A_collaborative_none_i0,A,,collaborative,none,0,R,0.6941281667717445,0.6941281667717445,0.5628275530397515,3.3424139827294526,0.2757437689031332,9.0,0.2757437689031332,9.0,0.0,291.50048007089606,17.670310920674705,17.69951992910178,17.670310920674705,nan,nan,0.6941281667717445,0.0,0.0,0.0,87.76960486909059,0.0,0.0,203.73087520180547
A_collaborative_none_i0,A,,collaborative,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.99999999999784,17.69951992910178,17.69951992910178,nan,nan,nan,0.0,0.0,0.0,0.0,88.20000000000056,0.0,0.0,199.79999999999728
A_collaborative_none_i0,A,,collaborative,none,0,B,0.0,0.0,0.054548940109139854,0.7394423440387048,0.006140323602705587,1.0,0.006140323602705587,1.0,0.0,295.03016915022135,17.670310920674705,nan,17.670310920674705,nan,nan,0.0,0.0,0.0,0.0,89.29889611274749,0.0,0.0,205.73127303747387
A_collaborative_none_i1,A,,collaborative,none,1,M,0.0,0.0,0.5137080032452026,1.688941047146511,0.01849807687034705,2.0,0.01849807687034705,2.0,0.0,296.05487008899655,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.08119124553883,0.0,0.0,198.97367884345772
A_collaborative_none_i1,A,,collaborative,none,1,R,0.6741192594841452,0.6741192594841452,0.4899642570106741,2.7742630708591545,0.19939789117011525,8.0,0.19939789117011525,8.0,0.0,291.40579761642863,17.667416323333622,17.79420238356921,17.667416323333622,nan,nan,0.6741192594841452,0.0,0.0,0.0,89.50242999679963,0.0,0.0,201.903367619629
