run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
A_short_window_prepare_i0,A,,short_window,prepare,0,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.0,,21.400000000000002,21.400000000000002,6.424888713632936,0,0,49,52,287,1.8696804395901465,2.5,0.7761348051433206,0.26515250001102686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.22631960486105,98.22631960486105,93.69444145959315
A_short_window_prepare_i1,A,,short_window,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,11.807275803902439,0,0,0,0,183,0.0,2.5,0.49122820968911407,0.43879360001301393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.899800825005855,44.899800825005855,53.849246788663336
A_short_window_prepare_i2,A,,short_window,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.05,,21.400000000000002,21.400000000000002,7.044876021369828,0,0,34,37,267,2.1285290540396327,2.5,0.7200502832445433,0.26925209996988997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7832480830722,83.7832480830722,85.05308812209725
B_ample_none_i0,B,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.406829090500349,0,0,0,4,45,3.0636643092197784,2.5,0.13566530226883916,0.1630074999993667,0.0,0.0,0.0,0.06299999999999999,0.115625,0.0,0.0,0.0,0.2963024999999998,0.0,0.0,0.19320978648709838,0.19320978648709838,5.967772290078752
B_ample_none_i1,B,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.689827320359097,0,0,0,0,55,0.0,2.5,0.1755196892683632,0.33540320000611246,0.0,0.0,0.0,0.06299999999999999,0.1375,0.0,0.0,0.0,0.4228958437499995,0.0,0.0,0.00427264145982349,0.00427264145982349,11.067873829224107
B_ample_none_i2,B,,ample,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.7000000000000002,,27.2,21.400000000000002,7.577056313731316,0,0,26,28,155,2.746875077051059,2.500000000000001,0.4563349896408727,0.17290280002634972,0.0,0.0,0.0,0.06299999999999999,0.14375,0.0,0.0,0.0,0.3303013124999996,0.0,0.0,43.4327127590832,43.4327127590832,49.16911847509604
B_ample_prepare_i0,B,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.368073733032684,0,0,0,10,97,2.5257937800949946,2.5000000000000044,0.3158647003272931,0.1692503000376746,0.0,0.0,0.0,0.06299999999999999,0.115625,0.0,0.0,0.0,0.2963024999999998,0.0,0.0,8.472590303097023,8.472590303097023,14.548291819423797
B_ample_prepare_i1,B,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.367335055384682,0,0,0,0,82,0.0,2.500000000000002,0.27270535926173245,0.36523410002700984,0.0,0.0,0.0,0.06299999999999999,0.140625,0.0,0.0,0.0,0.4228958437499995,0.0,0.0,2.358455081155877,2.358455081155877,13.03047717911867
B_ample_prepare_i2,B,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.1768546592275415,0,0,30,32,191,2.6361720559207362,2.500000000000002,0.5805855950344082,0.1781926999683492,0.0,0.0,0.0,0.06299999999999999,0.14375,0.0,0.0,0.0,0.3303013124999996,0.0,0.0,67.32197444698852,67.32197444698852,63.6497381852635
B_collaborative_none_i0,B,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.671632369311407,0,0,0,0,34,0.0,2.500000000000002,0.14899060514408727,0.41710739996051416,0.0,0.0,0.0,0.06299999999999999,0.153125,0.0,0.0,0.0,0.16667015625000003,0.0,0.0,1.0418818476014282,1.0418818476014282,4.050766661568887
