source_run_id,method,scenario,disturbance,init_variant,snapshot_t_s,vehicle,ablation,q_M,q_R,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,a_nom_mps2,a_actual_reference_mps2,full_reproduction_error,target_gap_physical_m,target_gap_process_m,window_opening_accel_mps2,post_front_id
C_ample_none_i0,C,ample,none,0,1.25,M,full,0.5247591443957789,0.45195658967457064,0.002597340007570254,-0.0032261021853846957,0.41937123782218555,0.17,0.1663066875624304,-0.2126134080379117,-0.2126134080379117,0.0,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,R,full,0.5247591443957789,0.45195658967457064,0.0,0.0032261021853846957,0.3632261021853847,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,0.0,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,M,no_space,0.5247591443957789,0.45195658967457064,0.0,-0.0032261021853846957,0.41677389781461527,0.17,0.1663066875624304,-0.22476895927334084,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,R,no_space,0.5247591443957789,0.45195658967457064,0.0,0.0032261021853846957,0.3632261021853847,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,M,fixed_W,0.5247591443957789,0.45195658967457064,0.002597340007570254,-0.0038797022929984567,0.4187176377145718,0.17,0.2,-0.21567225654154284,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,R,fixed_W,0.5247591443957789,0.45195658967457064,0.0,0.0038797022929984567,0.36387970229299843,0.17,0.2,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,M,no_partner,0.5247591443957789,0.45195658967457064,0.002597340007570254,0.0,0.42259734000757027,0.17,0.1663066875624304,-0.19751524981030996,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_none_i0,C,ample,none,0,1.25,R,no_partner,0.5247591443957789,0.45195658967457064,0.0,0.0,0.36,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,M,full,0.7112199642116992,0.6163382303822396,0.0012508047525075733,-0.005174795606675279,0.41607600914583226,0.17,0.2049985572562275,-0.04915386240765827,-0.04915386240765827,0.0,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,R,full,0.7112199642116992,0.6163382303822396,0.0,0.005174795606675279,0.36517479560667526,0.17,0.2049985572562275,0.15217784055276468,0.15217784055276468,0.0,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,M,no_space,0.7112199642116992,0.6163382303822396,0.0,-0.005174795606675279,0.4148252043933247,0.17,0.2049985572562275,-0.05567931080148938,-0.04915386240765827,,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,R,no_space,0.7112199642116992,0.6163382303822396,0.0,0.005174795606675279,0.36517479560667526,0.17,0.2049985572562275,0.15217784055276468,0.15217784055276468,,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,M,fixed_W,0.7112199642116992,0.6163382303822396,0.0012508047525075733,-0.005048616610708442,0.4162021881417991,0.17,0.2,-0.048495586585699614,-0.04915386240765827,,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,R,fixed_W,0.7112199642116992,0.6163382303822396,0.0,0.005048616610708442,0.3650486166107084,0.17,0.2,0.15217784055276468,0.15217784055276468,,27.2,27.2,0.0,F
C_ample_none_i2,C,ample,none,2,1.7,M,no_partner,0.7112199642116992,0.6163382303822396,0.0012508047525075733,0.0,0.42125080475250753,0.17,0.2049985572562275,-0.02215695372763378,-0.04915386240765827,,27.2,27.2,0.0,F
