run_id,method,scenario,disturbance,init_variant,vehicle,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,distance_m,min_net_gap_m
A_ample_none_i0,A,ample,none,0,M,2.070436395992044,4.476966085828221,2.864569194497783,0.2547510091176094,0.0,0.0,293.66816879805714,11.251064264926082
A_ample_none_i0,A,ample,none,0,R,1.657174825705889,0.6988949579420606,3.359085032302751,0.6106390037150369,7.0,1.329984387433996,286.4058863552003,30.2
A_ample_none_i0,A,ample,none,0,F,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,288.61786707599197,11.251064264926082
A_ample_none_i0,A,ample,none,0,B,0.0,0.046942289206494396,0.8094582866271223,0.007574755971024108,0.0,0.0,292.0008157456355,11.251064264926082
A_ample_none_i1,A,ample,none,1,M,0.858210914527885,1.6706122873296665,2.816905237045523,0.09035239746093641,0.0,0.0,296.6234646675982,10.601417033255029
A_ample_none_i1,A,ample,none,1,R,2.065415458342431,1.2191648888450985,5.129850038812578,1.0432499863562386,9.0,1.841374701498804,286.4122351986555,30.2
A_ample_none_i1,A,ample,none,1,F,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,288.61786707599197,10.601417033255029
A_ample_none_i1,A,ample,none,1,B,0.0,0.1087974265044613,1.2968117512276292,0.011962863782582938,0.0,0.0,291.9592063106256,10.601417033255029
A_ample_none_i2,A,ample,none,2,M,1.6670327719934368,4.048656287145436,2.5511577818851077,0.1585265197286392,0.0,0.0,294.6711740591352,9.773354193167858
A_ample_none_i2,A,ample,none,2,R,1.847699299404485,0.49440048566293143,3.271250894492832,0.6127493476851498,8.0,1.6740414820100284,286.390783239956,27.2
A_ample_none_i2,A,ample,none,2,F,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,288.61786707599197,9.773354193167858
A_ample_none_i2,A,ample,none,2,B,0.21495736872012097,0.10470961177517803,0.7659224919599275,0.0073672113606861635,0.0,0.0,292.0616496480553,9.773354193167858
A_ample_prepare_i0,A,ample,prepare,0,M,3.3538277827359773,5.002797174264164,3.025305317852508,0.2547510091176094,0.0,0.0,292.33173757381996,11.13088765225491
A_ample_prepare_i0,A,ample,prepare,0,R,3.16814053876574,0.9247162566412263,4.666161214836644,0.5960975679369611,7.0,1.329984387433996,285.0809343952052,30.2
A_ample_prepare_i0,A,ample,prepare,0,F,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,287.29059821937733,11.13088765225491
