run_id,t_s,method,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,action_correction_reason,F_disturbance_mps2
A_ample_none_i0,0.15,A,ample,none,0,R,67.6978125,0.0,17.9625,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.275000000000002,32.4,-2.1249999999999964,80.78468749999999,88.2859375,7.501250000000013,84.5353125,,0.0,PREPARE,-0.4349999999999967,-0.4349999999999967,-0.4349999999999967,-1.1999999999999345,0.0,0.0,,0.0
A_ample_none_i0,0.15,A,ample,none,0,F,102.7728125,0.0,18.4625,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.275000000000002,32.4,-2.1249999999999964,80.78468749999999,88.2859375,7.501250000000013,,,0.0,PREPARE,-0.3931249999999988,-0.3931249999999988,-0.3931249999999988,-0.3624999999999756,0.0,0.0,,0.0
A_ample_none_i0,0.15,A,ample,none,0,B,40.70203452534509,0.0,18.03138101380366,0.25262027607318516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.275000000000002,32.4,-2.1249999999999964,80.78468749999999,88.2859375,7.501250000000013,,,0.0,PREPARE,0.24237742843273485,0.24237742843273485,0.24237742843273485,-0.20485695280900607,0.0,0.0,,0.0
A_ample_none_i0,0.2,A,ample,none,0,M,78.39531249999999,3.6,21.9375,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300052343750007,32.4,-2.0999476562499915,81.67465624999998,89.21732109375,7.542664843750018,85.445988671875,,0.0,PREPARE,-1.199830957031247,-1.199830957031247,-0.625,-2.5,0.5748309570312471,0.0,jerk_limit,0.0
A_ample_none_i0,0.2,A,ample,none,0,R,68.59539374999999,0.0,17.940749999999998,-0.4349999999999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300052343750007,32.4,-2.0999476562499915,81.67465624999998,89.21732109375,7.542664843750018,85.445988671875,,0.0,PREPARE,-0.4218832187499971,-0.4218832187499971,-0.4218832187499971,0.26233562499999197,0.0,0.0,,0.0
A_ample_none_i0,0.2,A,ample,none,0,F,103.69544609375,0.0,18.442843749999998,-0.3931249999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300052343750007,32.4,-2.0999476562499915,81.67465624999998,89.21732109375,7.542664843750018,,,0.0,PREPARE,-0.37641718749999825,-0.37641718749999825,-0.37641718749999825,0.3341562500000106,0.0,0.0,,0.0
A_ample_none_i0,0.2,A,ample,none,0,B,41.60390654782082,0.0,18.043499885225298,0.24237742843273485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300052343750007,32.4,-2.0999476562499915,81.67465624999998,89.21732109375,7.542664843750018,,,0.0,PREPARE,0.23141479206277035,0.23141479206277035,0.23141479206277035,-0.21925272739929003,0.0,0.0,,0.0
A_ample_none_i0,0.25,A,ample,none,0,M,79.49140624999998,3.6,21.90625,-0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32521386378907,32.4,-2.0747861362109283,82.56378343964842,90.14993025976563,7.586146820117207,86.35685684970701,,0.0,PREPARE,-1.2273873500732422,-1.2273873500732422,-0.75,-2.5,0.4773873500732422,0.0,jerk_limit,0.0
A_ample_none_i0,0.25,A,ample,none,0,R,69.49190389597655,0.0,17.919655839062496,-0.4218832187499971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32521386378907,32.4,-2.0747861362109283,82.56378343964842,90.14993025976563,7.586146820117207,86.35685684970701,,0.0,PREPARE,-0.4085388483703093,-0.4085388483703093,-0.4085388483703093,0.2668874075937566,0.0,0.0,,0.0
A_ample_none_i0,0.25,A,ample,none,0,F,104.61711775976562,0.0,18.424022890624997,-0.37641718749999825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32521386378907,32.4,-2.0747861362109283,82.56378343964842,90.14993025976563,7.586146820117207,,,0.0,PREPARE,-0.3604194570312472,-0.3604194570312472,-0.3604194570312472,0.3199546093750205,0.0,0.0,,0.0
A_ample_none_i0,0.25,A,ample,none,0,B,42.506370810572164,0.0,18.055070624828435,0.23141479206277035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32521386378907,32.4,-2.0747861362109283,82.56378343964842,90.14993025976563,7.586146820117207,,,0.0,PREPARE,0.220637868791431,0.220637868791431,0.220637868791431,-0.21553846542678723,0.0,0.0,,0.0
A_ample_none_i0,0.3,A,ample,none,0,M,80.58578124999998,3.6,21.86875,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.350492365606367,32.4,-2.049507634393631,83.4521061281946,91.08380587997559,7.631699751780985,87.2679560040851,,0.0,PREPARE,-1.2507063114787216,-1.2507063114787216,-0.875,-2.5,0.3757063114787216,0.0,jerk_limit,0.0
A_ample_none_i0,0.3,A,ample,none,0,R,70.38737601436921,0.0,17.89922889664398,-0.4085388483703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.350492365606367,32.4,-2.049507634393631,83.4521061281946,91.08380587997559,7.631699751780985,87.2679560040851,,0.0,PREPARE,-0.3950103380037423,-0.3950103380037423,-0.3950103380037423,0.27057020733133985,0.0,0.0,,0.0
