run_id,t_s,event,details
E_collaborative_none_i1,5.3,merge_exit_before_completion,started_but_failed
E_collaborative_none_i2,3.6,merge_started,
E_collaborative_none_i2,5.25,merge_exit_before_completion,started_but_failed
E_collaborative_prepare_i0,4.95,merge_started,
E_collaborative_prepare_i0,5.2,merge_exit_before_completion,started_but_failed
E_collaborative_prepare_i1,2.55,merge_started,
E_collaborative_prepare_i1,5.4,merge_exit_before_completion,started_but_failed
E_collaborative_prepare_i2,4.9,merge_started,
E_collaborative_prepare_i2,5.3,merge_exit_before_completion,started_but_failed
E_short_window_none_i0,5.05,missed_window,missed_window
E_short_window_none_i1,5.25,missed_window,missed_window
E_short_window_none_i2,5.15,missed_window,missed_window
E_short_window_prepare_i0,5.1000000000000005,missed_window,missed_window
E_short_window_prepare_i1,5.3500000000000005,missed_window,missed_window
E_short_window_prepare_i2,5.2,missed_window,missed_window
