run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_success_release_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,compute_time_s,error,reference_ok,mission_valid,full_window_valid
P_collaborative_none_i0,P,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05130295555702307,0.09863110003061593,17.555555555555557,158,9,nan,nan,0.7386250000000066,10.481269555047417,121.59385190858774,0,132.81374646363517,58.3377853343803,2.500000000000002,149,176,0.5492978999973275,,1,1,0
P_collaborative_prepare_i0,P,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05018794444751822,0.0934902000008151,17.555555555555557,158,9,nan,nan,0.7448750000000068,11.687718918563462,121.68056193101388,0,134.11315584957734,59.59795263183541,2.500000000000002,178,205,0.5406119999825023,,1,1,0
P_collaborative_none_i2,P,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.053739820013288406,0.0967833999893628,16.5,165,10,nan,nan,3.086106243574482,19.027978644545712,439.37848751657685,0,461.49257240469706,174.60933481542904,51.63840823043748,376,299,0.6221900000236928,,1,1,0
P_ample_none_i0,P,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.050429944446983024,0.09410940000088885,17.555555555555557,158,9,nan,nan,0.0,0.0,4.697501919797991,0,4.697501919797991,5.527412841718322,2.5000000000000044,64,73,0.5391834999900311,,1,1,0
P_ample_prepare_i0,P,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11664494444590269,0.19575590000022203,17.555555555555557,158,9,nan,nan,0.0,1.0773535929694311,5.253811953880188,0,6.331165546849619,5.454593320730068,2.500000000000002,57,66,1.2889622999937274,,1,1,1
S1_collaborative_none_i0,S1,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15142477778459174,0.30106500000692904,17.555555555555557,158,9,nan,nan,0.9952249269005776,18.041391938125336,60.538451799378045,0,79.57506866440396,33.88114199919899,2.5,39,61,1.6253402999718674,,1,1,1
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.14746628887951374,0.2705337000079453,17.555555555555557,158,9,nan,nan,1.0014749269005778,24.19735374109024,63.66518290621198,0,88.8640115742028,42.51994777843484,2.5000000000000044,144,166,1.5983161000185646,,1,0,0
S1_collaborative_none_i2,S1,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.15973621999728493,0.29249679995700717,16.5,165,10,nan,nan,3.4057785193890617,25.393919640838963,77.11281200091898,0,105.912510161147,40.259699271347074,2.5,41,67,1.845963500032667,,1,1,1
S1_ample_none_i0,S1,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.16039314444383812,0.28814299998339266,17.555555555555557,158,9,nan,nan,0.15707073632152557,2.3845279625283173,5.505130327128274,0,8.046729025978117,4.7001893106204236,2.500000000000002,25,32,1.8474837000248954,,1,1,1
S1_ample_prepare_i0,S1,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1514437222116006,0.29993159999139607,17.555555555555557,158,9,nan,nan,0.15707073632152557,3.466854244296077,6.678854005358937,0,10.30277898597654,6.557419228886208,2.500000000000002,64,71,1.6169347999966703,,1,1,1
S2_collaborative_none_i0,S2,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1527442333301426,0.25953519996255636,17.555555555555557,158,9,nan,nan,0.9176318171958756,15.699248312761519,48.131284568506665,0,64.74816469846407,27.776630893592987,2.5,36,57,1.7209325000294484,,1,1,1
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15224451110568932,0.27980769996065646,17.555555555555557,158,9,nan,nan,0.9238818171958757,22.142919841437482,52.655353242580034,0,75.72215490121339,36.845781431521665,2.5,143,164,1.6127936000120826,,1,0,0
S2_collaborative_none_i2,S2,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.1617121999966912,0.3086853999993764,16.5,165,10,nan,nan,3.4057785193890617,24.731927943125058,71.46178050353473,0,99.59948696604884,37.47700183566062,2.5,39,65,1.8582542999647558,,1,1,1
S2_ample_none_i0,S2,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15322618887552786,0.2747385000111535,17.555555555555557,158,9,nan,nan,0.08446490824828956,1.4050525185719147,3.8269874791174505,0,5.316504905937655,4.270167517094853,2.5,31,38,1.6224164000013843,,1,1,1
S2_ample_prepare_i0,S2,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1752734444453381,0.41749620001064613,17.555555555555557,158,9,nan,nan,0.08446490824828956,2.535370061678243,4.876337150897448,0,7.49617212082398,5.685750061286779,2.500000000000002,57,64,1.848671000043396,,1,1,1
S3_collaborative_none_i0,S3,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.14102075554223525,0.26212869997834787,17.555555555555557,158,9,nan,nan,0.882068689503867,14.720736146948019,42.64561194406293,0,58.248416780514816,24.85664258727307,2.5,34,58,1.5166507000103593,,1,1,1
