run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_success_release_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,compute_time_s,planner_predicted_completion_t_s
S2_collaborative_none_i2,S2,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.1617121999966912,0.3086853999993764,16.5,165,10,161.0562499999998,nan,3.4057785193890617,24.731927943125058,71.46178050353473,0,99.59948696604884,37.47700183566062,2.5,39,65,1.8582542999647558,5.0
S2_ample_none_i0,S2,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15322618887552786,0.2747385000111535,17.555555555555557,158,9,164.67867613450068,nan,0.08446490824828956,1.4050525185719147,3.8269874791174505,0,5.316504905937655,4.270167517094853,2.5,31,38,1.6224164000013843,4.5
S2_ample_prepare_i0,S2,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1752734444453381,0.41749620001064613,17.555555555555557,158,9,164.67867613450068,nan,0.08446490824828956,2.535370061678243,4.876337150897448,0,7.49617212082398,5.685750061286779,2.500000000000002,57,64,1.848671000043396,4.5
S3_collaborative_none_i0,S3,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.14102075554223525,0.26212869997834787,17.555555555555557,158,9,157.27573049806014,nan,0.882068689503867,14.720736146948019,42.64561194406293,0,58.248416780514816,24.85664258727307,2.5,34,58,1.5166507000103593,4.5
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1581772888958868,0.2655926999868825,17.555555555555557,158,9,157.27573049806014,nan,0.8883186895038672,21.330743991793227,48.65663115650456,0,70.87569383780165,34.844792472267414,2.5000000000000044,141,164,1.6921988000394776,4.5
S3_collaborative_none_i2,S3,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.1591102799924556,0.30239479994634166,16.5,165,10,161.0562499999998,nan,3.4057785193890617,23.915523670989273,64.5268081248068,0,91.84811031518514,34.1853352273722,2.5,37,63,1.8621563999913633,5.0
S3_ample_none_i0,S3,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15916846667985535,0.2923050000099465,17.555555555555557,158,9,164.8242356760367,nan,0.05828303354838482,0.9880168777712397,3.884097121877869,0,4.930397033197494,4.790724594409712,2.5000000000000044,40,46,1.7021615999983624,4.5
S3_ample_prepare_i0,S3,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1680813777881364,0.32114110002294183,17.555555555555557,158,9,164.8242356760367,nan,0.05828303354838482,2.117057529665128,4.964430292425472,0,7.139770855638986,5.589658755622888,2.500000000000002,59,65,1.782777599990368,4.5
oldC_collaborative_none_i0,oldC,,collaborative,none,0,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,0.7473673991073575,0,0,0.29822855855259756,1.045595957659955,4.048472726969971,2.500000000000001,34,34,1.0656342000002041,nan
oldC_collaborative_prepare_i0,oldC,,collaborative,prepare,0,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,3.510281864258699,0,0,0.914674938602154,4.424956802860853,6.331157447558769,2.5,63,63,0.8194094999926165,nan
oldC_collaborative_none_i2,oldC,,collaborative,none,2,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,5.067805152356069,0,0,0.15033711658421842,5.218142268940287,8.903476976904926,2.5,94,94,0.8995685000554658,nan
oldC_ample_none_i0,oldC,,ample,none,0,completed,1,1,1.2500000000000002,4.25,,,0,0.0,0.0,0.0,0,0,nan,nan,0.0,0.0,4.915001644323544,0,4.915001644323544,6.32466521142817,2.5000000000000004,41,41,0.4042737999698147,nan
oldC_ample_prepare_i0,oldC,,ample,prepare,0,completed,1,1,1.2500000000000002,4.25,,,0,0.0,0.0,0.0,0,0,nan,nan,0.0,2.0503868989341907,8.647359603857431,0,10.697746502791622,13.34585079195711,2.500000000000002,127,127,0.4156483000260778,nan
P_ample_none_i1,P,,ample,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.1924420818263157,0.35289919999195263,15.636363636363637,172,11,168.46562499999982,nan,3.588395307490946,24.022850640273806,45.446163486569326,0,73.05740943433408,24.379050878395272,2.500000000000001,31,61,2.3900522000039928,5.5
P_ample_none_i2,P,,ample,none,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1691866666595969,0.2969894999987446,17.555555555555557,158,9,162.6406249999999,nan,1.8847897568209122,7.140579458407851,6.94323708559811,0,15.968606300826874,6.192900388006527,2.5,16,37,1.8281899000285193,4.5
P_ample_prepare_i1,P,,ample,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.1906343090866523,0.3679557000286877,15.636363636363637,172,11,168.46562499999982,nan,4.004563204064309,24.728812617194905,45.48699311349886,0,74.22036893475807,25.741056542022406,2.500000000000002,60,90,2.3608334999880753,5.5
P_ample_prepare_i2,P,,ample,prepare,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1868064555585281,0.4312862000078894,17.555555555555557,158,9,162.6406249999999,nan,1.8847897568209122,8.217933051377281,7.957723050183686,0,18.06044585838188,7.522480233451368,2.500000000000002,43,64,1.936784700024873,4.5
P_collaborative_none_i1,P,,collaborative,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.17776289999760178,0.3301295999553986,15.636363636363637,172,11,167.71562499999982,nan,5.453296652748369,41.87690233972313,126.23952308261224,0,173.56972207508375,61.91389101627404,2.5,37,73,2.2039906000136398,5.5
P_collaborative_prepare_i1,P,,collaborative,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.18266979999713262,0.322356199962087,15.636363636363637,172,11,167.71562499999982,nan,5.96350144798366,42.62845458468995,126.28144787292719,0,174.8734039056008,63.16272013085299,2.5,66,102,2.2839180000009947,5.5
P_collaborative_prepare_i2,P,,collaborative,prepare,2,completed,1,1,2.5,5.5,0.0,0.0,11,0.20277137273859064,0.32613910001236945,33.09090909090909,364,11,161.0562499999998,nan,5.2643536260186465,39.925695647403224,506.15102732347447,0,551.3410765968963,167.07748049301495,69.00000000001273,609,153,2.5020058000227436,5.0
P_short_window_none_i0,P,,short_window,none,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.18247373077051285,0.39251099998364225,34.84615384615385,453,13,166.91190624999996,nan,14.22845001460267,64.53590247457998,473.5605918153502,0,552.3249443045329,147.15068763695538,74.98139743929694,552,151,2.63885869999649,6.5
P_short_window_none_i1,P,,short_window,none,1,missed_window,0,0,,,0.0,,16,0.13080585000352585,0.14041579997865483,96,1536,16,nan,nan,127.40967738726978,0,0,343.50987828526485,470.9195556725346,192.743183440749,79.99999999999811,243,121,2.3280245000496507,nan
P_short_window_none_i2,P,,short_window,none,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.20147069999410844,0.38908739999169484,28,364,13,163.74253125000016,nan,17.709410508949187,67.19528155654055,472.54981588430314,0,557.4545079497929,141.34588860547836,75.53080598554924,551,162,2.8883881000219844,6.5
P_short_window_prepare_i0,P,,short_window,prepare,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.1516024538387473,0.30028359999414533,34.84615384615385,453,13,166.91190624999996,nan,15.32396395479118,64.72272734027226,473.5754639852185,0,553.622155280282,148.41615182492134,74.98139743929694,581,180,2.226876500004437,6.5
P_short_window_prepare_i1,P,,short_window,prepare,1,missed_window,0,0,,,0.0,,16,0.13616245000230265,0.3627967999782413,96,1536,16,nan,nan,128.7018693124042,0,0,343.5148979931554,472.2167673055596,194.00864726543404,79.99999999999811,272,150,2.402691000024788,nan
P_short_window_prepare_i2,P,,short_window,prepare,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.1747963692357119,0.30143210000824183,28,364,13,163.74253125000016,nan,18.804924449137697,67.38210642223284,472.5646880541715,0,558.751718925542,142.61135279344433,75.53080598554924,580,191,2.5139188999892212,6.5
S1_ample_none_i1,S1,,ample,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.18533644545823336,0.4027580000110902,15.636363636363637,172,11,167.25582417344717,nan,4.0098809629587535,33.403767632878235,100.86722801388748,0,138.2808766097245,48.81882669094312,2.5,45,67,2.277360799955204,5.5
S1_ample_none_i2,S1,,ample,none,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.06316785554453316,0.13194039999507368,17.555555555555557,158,9,162.68368125000006,nan,2.077150453287491,13.537489091054923,34.562018793670404,0,50.17665833801282,16.45893479700612,2.5,29,43,0.6701747999759391,4.5
S1_ample_prepare_i1,S1,,ample,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.07412681818029589,0.12286679999670014,15.636363636363637,172,11,167.25582417344717,nan,4.426037625748914,34.106173981698205,100.83792221220737,0,139.37013381965448,50.17186753752348,2.500000000000002,74,96,0.9350561000173911,5.5
S1_ample_prepare_i2,S1,,ample,prepare,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.0622353333229613,0.13114519999362528,17.555555555555557,158,9,162.68368125000006,nan,2.077150453287491,14.614985221731633,35.46713705914577,0,52.159272734164894,17.796943897296384,2.500000000000002,57,71,0.6795429000048898,4.5
S1_collaborative_none_i1,S1,,collaborative,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.06986970907945017,0.15306559996679425,15.636363636363637,172,11,165.76428924637216,nan,6.032571925960084,51.35773784698863,194.61804907795053,0,252.00835885089924,95.56893981646084,2.5,51,85,0.8606006000190973,5.5
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.0648015363575806,0.1089217999833636,15.636363636363637,172,11,165.76428924637216,nan,6.542765839178052,52.089661496335076,194.15156094551892,0,252.78398828103204,96.60797553506588,2.5,80,114,0.8279136999626644,5.5
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,completed,1,1,3.0,6.0,0.0,0.0,12,0.07613283332708913,0.12904959998559207,38.916666666666664,467,12,161.0562499999998,nan,9.5494678857806,56.25975730511504,224.41086656746998,0,290.22009175836564,111.389826183546,2.5,88,129,1.0179073000326753,5.0
S1_short_window_none_i0,S1,,short_window,none,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.05799996922723949,0.11057889997027814,34.84615384615385,453,13,166.54691007161358,nan,14.808418078361644,73.8342480817928,351.35539419777797,0,439.9980603579324,149.6423467741757,2.5,157,196,0.844908100028988,6.5
S1_short_window_none_i1,S1,,short_window,none,1,missed_window,0,0,,,0.0,,16,0.09871517500141636,0.1417107000015676,96,1536,16,nan,nan,127.40967738726978,0,0,343.50987828526485,470.9195556725346,192.743183440749,79.99999999999811,243,121,1.7800354000064544,nan
S1_short_window_none_i2,S1,,short_window,none,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.17038499231253249,0.34893199999351054,28,364,13,163.05888030142071,nan,18.72481866088349,78.74871406367868,387.6624150481001,0,485.1359477726623,157.74626302461206,2.5,165,203,2.4746060999459587,6.5
S1_short_window_prepare_i0,S1,,short_window,prepare,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.1657476769088624,0.2968710999703035,34.84615384615385,453,13,166.5463509008162,nan,15.90885773955424,74.04544475728785,341.1921207238768,0,431.14642322071893,147.42723514795202,2.5,179,218,2.418404299998656,6.5
S1_short_window_prepare_i1,S1,,short_window,prepare,1,missed_window,0,0,,,0.0,,16,0.12817189374254667,0.16786049999063835,96,1536,16,nan,nan,128.7018693124042,0,0,343.5148979931554,472.2167673055596,194.00864726543404,79.99999999999811,272,150,2.286260000022594,nan
S1_short_window_prepare_i2,S1,,short_window,prepare,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.184913707686624,0.5096323999459855,28,364,13,163.05888030142071,nan,19.81998272907394,78.93323551105043,378.678171703634,0,477.43138994375835,156.66419142990273,2.5,188,226,2.658571500040125,6.5
S2_ample_none_i1,S2,,ample,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.17644435454646804,0.31062040000688285,15.636363636363637,172,11,166.49709026930094,nan,3.6428527098864465,28.33491117903118,74.13537252739813,0,106.11313641631575,36.023454510559915,2.5,39,61,2.2005739000160247,5.5
S2_ample_none_i2,S2,,ample,none,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.15635445555542699,0.30609070003265515,17.555555555555557,158,9,162.80088682820582,nan,1.9944580886341696,11.542547353705839,25.581122152396144,0,39.11812759473615,12.047913706389679,2.5,22,36,1.66585990000749,4.5
S2_ample_prepare_i1,S2,,ample,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.15814079090804709,0.3166533999610692,15.636363636363637,172,11,166.49709026930094,nan,4.059009354369233,29.03825733420728,74.13083894097348,0,107.22810562954999,37.38059709898871,2.500000000000002,68,90,1.8604697999544442,5.5
S2_ample_prepare_i2,S2,,ample,prepare,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05854522223429134,0.1052792000118643,17.555555555555557,158,9,162.80088682820582,nan,1.9944580886341696,12.622095997762319,26.59243894515784,0,41.20899303155433,13.466720586891537,2.500000000000002,48,62,0.6361490999697708,4.5
S2_collaborative_none_i1,S2,,collaborative,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.06460823636205698,0.12553269998170435,15.636363636363637,172,11,166.53652451678772,nan,5.793551622866236,47.35595788091959,165.52486913563067,0,218.6743786394165,80.72885451545979,2.5,47,80,0.8057314000325277,5.5
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.06824566364097832,0.10797150002326816,15.636363636363637,172,11,166.53652451678772,nan,6.303752595922657,48.08947039611469,165.1064939888075,0,219.49971698084485,81.79808423971885,2.5,76,109,0.856214200030081,5.5
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,completed,1,1,3.0,6.0,0.0,0.0,12,0.07921992499905173,0.13090640003792942,38.916666666666664,467,12,161.0562499999998,nan,9.429957441368074,54.22491238099949,207.67076132059765,0,271.3256311429652,102.1901696702489,2.5,85,128,1.0536977000301704,5.0
S2_short_window_none_i0,S2,,short_window,none,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.055238823066107355,0.11089480004739016,34.84615384615385,453,13,167.2176328486573,nan,14.741457218066953,71.6831816948682,292.58972728446304,0,379.0143661973982,127.4168330567713,2.5,126,167,0.8086370999808423,6.5
S2_short_window_none_i1,S2,,short_window,none,1,missed_window,0,0,,,0.0,,16,0.04434786249476019,0.0514467999455519,96,1536,16,nan,nan,127.40967738726978,0,0,343.50987828526485,470.9195556725346,192.743183440749,79.99999999999811,243,121,0.7942477000178769,nan
S2_short_window_none_i2,S2,,short_window,none,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.062281915380691104,0.1102742999792099,28,364,13,164.07779064591662,nan,18.279296447468944,72.1762687284293,261.76702300924416,0,352.2225881851424,116.29266692953296,2.5000000000000044,114,156,0.905950499989558,6.5
S2_short_window_prepare_i0,S2,,short_window,prepare,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.05963676153288151,0.12778809998417273,42.23076923076923,549,13,167.21706158802994,nan,15.944318864331049,72.4847914997882,288.393690097692,0,376.82280046181125,126.56402227634379,2.5,146,191,0.8649378000409342,6.5
S2_short_window_prepare_i1,S2,,short_window,prepare,1,missed_window,0,0,,,0.0,,16,0.04442308126090211,0.052972700039390475,96,1536,16,nan,nan,128.7018693124042,0,0,343.5148979931554,472.2167673055596,194.00864726543404,79.99999999999811,272,150,0.7999895000248216,nan
S2_short_window_prepare_i2,S2,,short_window,prepare,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.06032001538327537,0.11940429999958724,28,364,13,164.07779064591662,nan,19.448980362537426,73.69996044219873,282.0865243301507,0,375.2354651348869,123.99701349107816,2.5,153,195,0.8756798999966122,6.5
S3_ample_none_i1,S3,,ample,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.06373227272838862,0.11365699995076284,15.636363636363637,172,11,166.291684430274,nan,3.7243219808301236,29.449022170412064,79.29169357121906,0,112.46503772246125,38.52333489540416,2.5,41,63,0.8008476999821141,5.5
S3_ample_none_i2,S3,,ample,none,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.058799877788664565,0.1090404000133276,17.555555555555557,158,9,162.80088682820582,nan,1.9935571652814266,11.470399041906752,25.126128995129832,0,38.59008520231801,11.808702411581999,2.5,21,35,0.6270192000083625,4.5
S3_ample_prepare_i1,S3,,ample,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.06911481818480586,0.12776250002207235,15.636363636363637,172,11,166.291684430274,nan,4.140493020479392,30.155726364028986,79.30880270464743,0,113.60502208915581,39.89238982307415,2.500000000000002,70,92,0.8577925999998115,5.5
S3_ample_prepare_i2,S3,,ample,prepare,2,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11383244443762426,0.17495319998124614,17.555555555555557,158,9,162.80088682820582,nan,1.9935571652814266,12.549407237563544,26.131738819875977,0,40.67470322272095,13.242377805674138,2.500000000000002,47,61,1.290395800024271,4.5
S3_collaborative_none_i1,S3,,collaborative,none,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.20065768181071195,0.5224077999591827,15.636363636363637,172,11,166.14050104820276,nan,5.903701063235086,49.781718125041635,185.73751682591615,0,241.42293601419286,90.74837333639108,2.5,50,83,2.4513018999714404,5.5
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,completed,1,1,2.5,5.5,0.0,0.0,11,0.13501594546356832,0.3254039000021294,15.636363636363637,172,11,166.14050104820276,nan,6.413916488586104,50.54450860698643,185.6415843054235,0,242.60000940099604,91.97133031049358,2.5,79,113,1.614019599976018,5.5
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,completed,1,1,3.0,6.0,0.0,0.0,12,0.07542271667625755,0.13557039998704568,30.916666666666668,371,12,161.0562499999998,nan,9.329912604962265,51.6317037030903,184.63117089995023,0,245.5927872080028,91.88070171048359,2.5,82,123,1.0171994999982417,5.0
S3_short_window_none_i0,S3,,short_window,none,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.06263609231413844,0.11526290001347661,34.84615384615385,453,13,167.54597239211708,nan,14.590434242617354,70.37639199433069,259.5279916604112,0,344.49481789735927,117.00572092919685,2.5,94,134,0.9369551000418141,6.5
S3_short_window_none_i1,S3,,short_window,none,1,missed_window,0,0,,,0.0,,16,0.04776232500807964,0.05324269999982789,96,1536,16,nan,nan,127.40967738726978,0,0,343.50987828526485,470.9195556725346,192.743183440749,79.99999999999811,243,121,0.8550090999924578,nan
S3_short_window_none_i2,S3,,short_window,none,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.06281463076951556,0.11972929997136816,28,364,13,164.37106426799627,nan,17.99883371780633,70.61008911885082,232.7265998700597,0,321.33552270671686,109.69226361744616,2.5,77,118,0.9139786000014283,6.5
S3_short_window_prepare_i0,S3,,short_window,prepare,0,completed,1,1,3.5,6.5,0.0,1.5,13,0.08911339999982514,0.20420560002094135,42.23076923076923,549,13,167.54523427988727,nan,15.799404003327256,70.22276348875705,241.80191105631224,0,327.8240785483965,114.57554307599962,2.5,85,130,1.3005668999976479,6.5
S3_short_window_prepare_i1,S3,,short_window,prepare,1,missed_window,0,0,,,0.0,,16,0.05651701874739956,0.07015129999490455,96,1536,16,nan,nan,128.7018693124042,0,0,343.5148979931554,472.2167673055596,194.00864726543404,79.99999999999811,272,150,1.0259028000291437,nan
S3_short_window_prepare_i2,S3,,short_window,prepare,2,completed,1,1,3.5,6.5,0.0,1.0,13,0.09015345384922022,0.18627360003301874,35.38461538461539,460,13,164.37106426799627,nan,19.28765802908974,72.69971179800535,245.0768640442946,0,337.0642338713897,115.18557926545186,2.5,116,160,1.3024437999702059,6.5
oldC_ample_none_i1,oldC,,ample,none,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,0.0037369591371064106,0,0,0.0015043226539845024,0.005241281791090913,9.861884333359418,2.5,51,51,0.3536712999921292,nan
oldC_ample_none_i2,oldC,,ample,none,2,started_but_failed,0,0,1.7000000000000002,,,,0,0.0,0.0,0.0,0,0,nan,nan,0.4943785987066443,3.059416364440523,0,50.65805753092931,54.21185249407648,49.71565850970774,2.5000000000000044,205,196,0.2797200999921188,nan
oldC_ample_prepare_i1,oldC,,ample,prepare,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,2.1803395621948622,0,0,0.18577605291128735,2.3661156151061498,11.729716076758873,2.5000000000000044,77,77,0.41062219999730587,nan
oldC_ample_prepare_i2,oldC,,ample,prepare,2,completed,1,1,1.7000000000000002,4.7,,,0,0.0,0.0,0.0,0,0,nan,nan,0.5025477261676983,8.270749497033,90.16900910992454,0,98.94230633312525,76.62453974195064,2.500000000000002,259,244,0.21846050000749528,nan
oldC_collaborative_none_i1,oldC,,collaborative,none,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,0.8666238344187612,0,0,0.0,0.8666238344187612,2.7846303271154964,2.5,24,24,0.35399700002744794,nan
oldC_collaborative_prepare_i1,oldC,,collaborative,prepare,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,3.3485878545524383,0,0,0.05906234391554328,3.4076501984679815,4.494097664692055,2.5,53,53,0.32523869996657595,nan
oldC_collaborative_prepare_i2,oldC,,collaborative,prepare,2,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,8.624978763396616,0,0,0.7343972320376841,9.3593759954343,9.89768115434587,2.5000000000000004,114,114,0.34378260001540184,nan
oldC_short_window_none_i0,oldC,,short_window,none,0,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,22.382639170146724,0,0,1.8923928446048834,24.27503201475161,34.25209755478242,2.5,116,116,0.33129689999623224,nan
oldC_short_window_none_i1,oldC,,short_window,none,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,18.98866607087715,0,0,1.2671088799124384,20.25577495078959,23.428283121476845,2.5,103,103,0.3409195999847725,nan
oldC_short_window_none_i2,oldC,,short_window,none,2,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,28.56448158675081,0,0,2.6704850638130715,31.23496665056388,35.60758372097305,2.5000000000000044,118,118,0.3919492000131868,nan
oldC_short_window_prepare_i0,oldC,,short_window,prepare,0,started_but_failed,0,0,3.25,,,,0,0.0,0.0,0.0,0,0,nan,nan,13.741017165285509,60.55515202339341,0,513.2343317533316,587.5305009420106,195.0906611863464,68.70469069274363,852,220,0.25544380000792444,nan
oldC_short_window_prepare_i1,oldC,,short_window,prepare,1,missed_window,0,0,,,,,0,0.0,0.0,0.0,0,0,nan,nan,25.70927771819848,0,0,1.9898000151994113,27.69907773339789,31.784756642145695,2.5,144,141,0.40494869998656213,nan
