run_id,t_s,method,ablation,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,coord_eta_M,coord_eta_R,coord_eta_dot_M,coord_eta_dot_R,coord_gradient_M,coord_gradient_R,coord_partner_M,coord_partner_R,K_to_partner_s-1,W_to_partner,g_FR_m,target_gap_physical_m,target_gap_process_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,s_ref_dot_mps,s_ref_ddot_mps2,reference_kind,plan_id,plan_start_t_s,plan_reason,plan_compute_time_s,predicted_start_t_s,predicted_completion_t_s,predicted_completion_s_m,predicted_min_h_m,predicted_net_clearance_m,predicted_candidate_count,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,safety_correction_applied,action_saturation_applied,action_correction_reason,one_step_feasible,next_h_min_m,F_disturbance_mps2
P_collaborative_none_i0,0.0,P,,collaborative,none,0,M,76.0,3.6,21.5,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.2,21.400000000000002,21.400000000000002,0.0,81.1,79.67500000000001,-1.424999999999983,77.07484375,21.49375,-0.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.125,-0.125,-0.125,-2.5,0.0,0.0,0,1,,1,12.897499999999999,0.0
P_collaborative_none_i0,0.0,P,,collaborative,none,0,R,68.0,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.2,21.400000000000002,21.400000000000002,0.0,81.1,79.67500000000001,-1.424999999999983,77.07484375,21.49375,-0.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.125,-0.125,-0.125,-2.5,0.0,0.0,0,1,,1,12.897499999999999,0.0
P_collaborative_none_i0,0.0,P,,collaborative,none,0,F,94.0,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.2,21.400000000000002,21.400000000000002,0.0,81.1,79.67500000000001,-1.424999999999983,77.07484375,21.49375,-0.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.897499999999999,0.0
P_collaborative_none_i0,0.0,P,,collaborative,none,0,B,42.0,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.2,21.400000000000002,21.400000000000002,0.0,81.1,79.67500000000001,-1.424999999999983,77.07484375,21.49375,-0.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.24780647205411174,0.125,0.125,2.5,-0.12280647205411174,-0.12280647205411174,1,1,common_safety_projection,1,12.897499999999999,0.0
P_collaborative_none_i0,0.05,P,,collaborative,none,0,M,77.07484375,3.6,21.49375,-0.125,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200156250000003,21.400000000000002,21.400000000000002,0.0001562500000034106,81.99765625,80.57718750000001,-1.4204687499999977,78.14921875,21.48125,-0.25,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.25,-0.25,-0.25,-2.5,0.0,0.0,0,1,,1,12.89200059978317,0.0
P_collaborative_none_i0,0.05,P,,collaborative,none,0,R,68.89984375,0.0,17.99375,-0.125,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200156250000003,21.400000000000002,21.400000000000002,0.0001562500000034106,81.99765625,80.57718750000001,-1.4204687499999977,78.14921875,21.48125,-0.25,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.25,-0.25,-0.25,-2.5,0.0,0.0,0,1,,1,12.89200059978317,0.0
P_collaborative_none_i0,0.05,P,,collaborative,none,0,F,94.9,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200156250000003,21.400000000000002,21.400000000000002,0.0001562500000034106,81.99765625,80.57718750000001,-1.4204687499999977,78.14921875,21.48125,-0.25,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.89200059978317,0.0
P_collaborative_none_i0,0.05,P,,collaborative,none,0,B,42.90015625,0.0,18.00625,0.125,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200156250000003,21.400000000000002,21.400000000000002,0.0001562500000034106,81.99765625,80.57718750000001,-1.4204687499999977,78.14921875,21.48125,-0.25,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.24330134489791144,0.24330134489791144,0.24330134489791144,2.366026897958229,0.0,0.0,0,0,,1,12.89200059978317,0.0
P_collaborative_none_i0,0.1,P,,collaborative,none,0,M,78.14921875,3.6,21.48125,-0.25,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200781250000002,21.400000000000002,21.400000000000002,0.0007812500000028422,82.89265625,81.48156250000001,-1.411093749999992,79.2228125,21.4625,-0.375,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.375,-0.375,-0.375,-2.5,0.0,0.0,0,1,,1,12.885279660654426,0.0
P_collaborative_none_i0,0.1,P,,collaborative,none,0,R,69.79921875000001,0.0,17.98125,-0.25,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200781250000002,21.400000000000002,21.400000000000002,0.0007812500000028422,82.89265625,81.48156250000001,-1.411093749999992,79.2228125,21.4625,-0.375,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.375,-0.375,-0.375,-2.5,0.0,0.0,0,1,,1,12.885279660654426,0.0
P_collaborative_none_i0,0.1,P,,collaborative,none,0,F,95.80000000000001,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200781250000002,21.400000000000002,21.400000000000002,0.0007812500000028422,82.89265625,81.48156250000001,-1.411093749999992,79.2228125,21.4625,-0.375,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.885279660654426,0.0
P_collaborative_none_i0,0.1,P,,collaborative,none,0,B,43.80077287668112,0.0,18.0184150672449,0.24330134489791144,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.200781250000002,21.400000000000002,21.400000000000002,0.0007812500000028422,82.89265625,81.48156250000001,-1.411093749999992,79.2228125,21.4625,-0.375,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.23434324088032168,0.23434324088032168,0.23434324088032168,-0.17916208035179515,0.0,0.0,0,0,,1,12.885279660654426,0.0
P_collaborative_none_i0,0.15,P,,collaborative,none,0,M,79.2228125,3.6,21.4625,-0.375,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.202187500000004,21.400000000000002,21.400000000000002,0.002187500000005116,83.7846875,82.38812500000002,-1.3965624999999875,80.29531250000001,21.4375,-0.5,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.5,-0.5,-0.5,-2.5,0.0,0.0,0,1,,1,12.87707718107497,0.0
P_collaborative_none_i0,0.15,P,,collaborative,none,0,R,70.69781250000001,0.0,17.9625,-0.375,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.202187500000004,21.400000000000002,21.400000000000002,0.002187500000005116,83.7846875,82.38812500000002,-1.3965624999999875,80.29531250000001,21.4375,-0.5,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.5,-0.5,-0.5,-2.5,0.0,0.0,0,1,,1,12.87707718107497,0.0
P_collaborative_none_i0,0.15,P,,collaborative,none,0,F,96.70000000000002,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.202187500000004,21.400000000000002,21.400000000000002,0.002187500000005116,83.7846875,82.38812500000002,-1.3965624999999875,80.29531250000001,21.4375,-0.5,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.87707718107497,0.0
P_collaborative_none_i0,0.15,P,,collaborative,none,0,B,44.701986559094465,0.0,18.030132229288913,0.23434324088032168,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.202187500000004,21.400000000000002,21.400000000000002,0.002187500000005116,83.7846875,82.38812500000002,-1.3965624999999875,80.29531250000001,21.4375,-0.5,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.22377963280036606,0.22377963280036606,0.22377963280036606,-0.21127216159911255,0.0,0.0,0,0,,1,12.87707718107497,0.0
P_collaborative_none_i0,0.2,P,,collaborative,none,0,M,80.29531250000001,3.6,21.4375,-0.5,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.204687500000016,21.400000000000002,21.400000000000002,0.004687500000017053,84.6734375,83.29687500000003,-1.3765624999999773,81.36640625000001,21.40625,-0.625,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.625,-0.625,-0.625,-2.5,0.0,0.0,0,1,,1,12.86713836097247,0.0
P_collaborative_none_i0,0.2,P,,collaborative,none,0,R,71.5953125,0.0,17.9375,-0.5,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.204687500000016,21.400000000000002,21.400000000000002,0.004687500000017053,84.6734375,83.29687500000003,-1.3765624999999773,81.36640625000001,21.40625,-0.625,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.625,-0.625,-0.625,-2.5,0.0,0.0,0,1,,1,12.86713836097247,0.0
P_collaborative_none_i0,0.2,P,,collaborative,none,0,F,97.60000000000002,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.204687500000016,21.400000000000002,21.400000000000002,0.004687500000017053,84.6734375,83.29687500000003,-1.3765624999999773,81.36640625000001,21.40625,-0.625,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.86713836097247,0.0
P_collaborative_none_i0,0.2,P,,collaborative,none,0,B,45.60377289509991,0.0,18.04132121092893,0.22377963280036606,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.204687500000016,21.400000000000002,21.400000000000002,0.004687500000017053,84.6734375,83.29687500000003,-1.3765624999999773,81.36640625000001,21.40625,-0.625,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.2115471763230671,0.2115471763230671,0.2115471763230671,-0.24464912954597906,0.0,0.0,0,0,,1,12.86713836097247,0.0
P_collaborative_none_i0,0.25,P,,collaborative,none,0,M,81.36640625000001,3.6,21.40625,-0.625,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.208593750000016,21.400000000000002,21.400000000000002,0.008593750000017053,85.55859375,84.20781250000003,-1.3507812499999687,82.43578125,21.36875,-0.75,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.75,-0.75,-0.75,-2.5,0.0,0.0,0,1,,1,12.855214040986041,0.0
P_collaborative_none_i0,0.25,P,,collaborative,none,0,R,72.49140625000001,0.0,17.90625,-0.625,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.208593750000016,21.400000000000002,21.400000000000002,0.008593750000017053,85.55859375,84.20781250000003,-1.3507812499999687,82.43578125,21.36875,-0.75,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.75,-0.75,-0.75,-2.5,0.0,0.0,0,1,,1,12.855214040986041,0.0
P_collaborative_none_i0,0.25,P,,collaborative,none,0,F,98.50000000000003,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.208593750000016,21.400000000000002,21.400000000000002,0.008593750000017053,85.55859375,84.20781250000003,-1.3507812499999687,82.43578125,21.36875,-0.75,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.855214040986041,0.0
P_collaborative_none_i0,0.25,P,,collaborative,none,0,B,46.50610338961676,0.0,18.051898569745084,0.2115471763230671,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.208593750000016,21.400000000000002,21.400000000000002,0.008593750000017053,85.55859375,84.20781250000003,-1.3507812499999687,82.43578125,21.36875,-0.75,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.1975675466225916,0.1975675466225916,0.1975675466225916,-0.2795925940095101,0.0,0.0,0,0,,1,12.855214040986041,0.0
P_collaborative_none_i0,0.3,P,,collaborative,none,0,M,82.43578125,3.6,21.36875,-0.75,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.214218750000025,21.400000000000002,21.400000000000002,0.014218750000026148,86.43984375000001,85.12093750000004,-1.3189062499999693,83.50312500000001,21.325,-0.875,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.875,-0.875,-0.875,-2.5,0.0,0.0,0,1,,1,12.841092415505479,0.0
P_collaborative_none_i0,0.3,P,,collaborative,none,0,R,73.38578125000001,0.0,17.86875,-0.75,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.214218750000025,21.400000000000002,21.400000000000002,0.014218750000026148,86.43984375000001,85.12093750000004,-1.3189062499999693,83.50312500000001,21.325,-0.875,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.85,-0.85,-0.85,-1.9999999999999996,0.0,0.0,0,0,,1,12.841092415505479,0.0
P_collaborative_none_i0,0.3,P,,collaborative,none,0,F,99.40000000000003,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.214218750000025,21.400000000000002,21.400000000000002,0.014218750000026148,86.43984375000001,85.12093750000004,-1.3189062499999693,83.50312500000001,21.325,-0.875,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.841092415505479,0.0
P_collaborative_none_i0,0.3,P,,collaborative,none,0,B,47.40894527753729,0.0,18.061776947076215,0.1975675466225916,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.214218750000025,21.400000000000002,21.400000000000002,0.014218750000026148,86.43984375000001,85.12093750000004,-1.3189062499999693,83.50312500000001,21.325,-0.875,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.18174816676024425,0.18174816676024425,0.18174816676024425,-0.3163875972469471,0.0,0.0,0,0,,1,12.841092415505479,0.0
P_collaborative_none_i0,0.35,P,,collaborative,none,0,M,83.50312500000001,3.6,21.325,-0.875,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.22184375000003,21.400000000000002,21.400000000000002,0.021843750000030582,87.31734375,86.03625000000004,-1.2810937499999682,84.56812500000001,21.275,-1.0,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-1.0,-1.0,-1.0,-2.5,0.0,0.0,0,1,,1,12.824717500086354,0.0
P_collaborative_none_i0,0.35,P,,collaborative,none,0,R,74.27815625000001,0.0,17.826249999999998,-0.85,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.22184375000003,21.400000000000002,21.400000000000002,0.021843750000030582,87.31734375,86.03625000000004,-1.2810937499999682,84.56812500000001,21.275,-1.0,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.85,-0.85,-0.85,0.0,0.0,0.0,0,0,,1,12.824717500086354,0.0
P_collaborative_none_i0,0.35,P,,collaborative,none,0,F,100.30000000000004,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.22184375000003,21.400000000000002,21.400000000000002,0.021843750000030582,87.31734375,86.03625000000004,-1.2810937499999682,84.56812500000001,21.275,-1.0,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.824717500086354,0.0
P_collaborative_none_i0,0.35,P,,collaborative,none,0,B,48.31226131009955,0.0,18.070864355414226,0.18174816676024425,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.22184375000003,21.400000000000002,21.400000000000002,0.021843750000030582,87.31734375,86.03625000000004,-1.2810937499999682,84.56812500000001,21.275,-1.0,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.1643572079150062,0.1643572079150062,0.1643572079150062,-0.34781917690476116,0.0,0.0,0,0,,1,12.824717500086354,0.0
P_collaborative_none_i0,0.4,P,,collaborative,none,0,M,84.56812500000001,3.6,21.275,-1.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.23159375000004,21.400000000000002,21.400000000000002,0.03159375000004161,88.19271875,86.95375000000004,-1.2389687499999553,85.63046875,21.21875,-1.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-1.125,-1.125,-1.125,-2.5,0.0,0.0,0,1,,1,12.806134957716864,0.0
P_collaborative_none_i0,0.4,P,,collaborative,none,0,R,75.16840625,0.0,17.783749999999998,-0.85,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.23159375000004,21.400000000000002,21.400000000000002,0.03159375000004161,88.19271875,86.95375000000004,-1.2389687499999553,85.63046875,21.21875,-1.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-0.85,-0.85,-0.85,0.0,0.0,0.0,0,0,,1,12.806134957716864,0.0
P_collaborative_none_i0,0.4,P,,collaborative,none,0,F,101.20000000000005,0.0,18.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.23159375000004,21.400000000000002,21.400000000000002,0.03159375000004161,88.19271875,86.95375000000004,-1.2389687499999553,85.63046875,21.21875,-1.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,1,12.806134957716864,0.0
P_collaborative_none_i0,0.4,P,,collaborative,none,0,B,49.21600997438016,0.0,18.079082215809976,0.1643572079150062,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.23159375000004,21.400000000000002,21.400000000000002,0.03159375000004161,88.19271875,86.95375000000004,-1.2389687499999553,85.63046875,21.21875,-1.125,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,0.14684968421308714,0.14684968421308714,0.14684968421308714,-0.35015047403838095,0.0,0.0,0,0,,1,12.806134957716864,0.0
P_collaborative_none_i0,0.45,P,,collaborative,none,0,M,85.63046875,3.6,21.21875,-1.125,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,1.299461479866325,2.4948940178130523,0.0,0.0,0.16,0.7203125325753532,21.243468750000044,21.400000000000002,21.400000000000002,0.04346875000004502,89.06596875,87.87343750000005,-1.192531249999945,86.68984375000001,21.15625,-1.25,predictive_common_P,-1,1.5,,0.09863110003061593,1.5,4.5,155.6812499999998,0.01790625000000201,7.914968749999997,102,0.0,PREPARE,-1.25,-1.25,-1.25,-2.5,0.0,0.0,0,1,,1,12.785390404778326,0.0
