method,n,geometry_completed,mission_valid,full_window_valid,mean_speed_deficit_all_m,mission_valid_n,mean_speed_deficit_mission_valid_m,mean_prepare_deficit_all_m,mean_execute_deficit_all_m,mean_release_deficit_all_m,mean_failure_handling_deficit_all_m,mean_prepare_deficit_mission_valid_m,mean_execute_deficit_mission_valid_m,mean_release_deficit_mission_valid_m,mean_failure_handling_deficit_mission_valid_m,mean_planner_compute_s,mean_candidates,mean_saturation
P,18,16,16,7,276.9904902627046,16,252.6682813594118,19.71064397903761,27.480642602434543,191.63116055465355,38.1680431265789,6.167502807687686,30.915722927738862,215.58505562398526,0.0,0.1445494860344468,29.73122248122248,130.77777777777777
S1,18,16,15,11,235.80825683759602,15,214.16988590162873,20.322514938865663,35.24529236202724,142.0724064101242,38.1680431265789,7.246149818200492,40.68119391836001,166.24254216506824,0.0,0.12067044997034412,30.054875679875682,117.55555555555556
S2,18,16,15,11,204.58233977695576,15,177.57490920705973,20.175547859113152,32.65371519808883,113.58503359317487,38.1680431265789,7.074962196477792,37.70826358161077,132.79168342897117,0.0,0.10461153806212929,30.46513209013209,107.44444444444444
S3,18,16,15,12,196.76933031578568,15,168.5223952578831,20.143337119259115,32.36463999256336,106.0933100773843,38.1680431265789,7.038680183832414,37.41551839162315,124.06819668242753,0.0,0.10617393592648718,30.430944055944057,98.83333333333333
oldC,18,3,1,1,51.4351351262652,1,4.915001644323544,9.47365538084913,4.107539154655618,5.76285390878364,32.09108668197681,0.0,0.0,4.915001644323544,0.0,0.0,0.0,109.94444444444444
