run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_success_release_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,compute_time_s,validation,planner_predicted_completion_t_s
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05513423333306693,0.0986080999718979,17.555555555555557,158,9,155.99825714031837,nan,0.7651839108317535,12.934287940791922,53.05353036560636,0,66.75300221723003,24.732996327874265,2.5,25,47,0.5868693999946117,1,4.5
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05598315555835143,0.10453860001871362,17.555555555555557,158,9,163.8083458937827,nan,0.0,0.0,2.257909808480536,0,2.257909808480536,3.927200561852879,2.5,12,19,0.604408799961675,1,4.5
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.06220189999375078,0.10305619996506721,17.555555555555557,158,9,156.81079240180816,nan,0.9952249269005776,18.041391938125336,60.538451799378045,0,79.57506866440396,33.88114199919899,2.5,39,61,0.6727367999847047,1,4.5
S2_ample_none_i0_no_feedback,S2,no_feedback,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05843950000902017,0.1262412000214681,17.555555555555557,158,9,164.55401149071778,nan,0.15707073632152557,2.3845279625283173,5.505130327128274,0,8.046729025978117,4.7001893106204236,2.500000000000002,25,32,0.6152562000206672,1,4.5
S2_collaborative_none_i0_fixed_W,S2,fixed_W,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.057735622220207006,0.11163860000669956,17.555555555555557,158,9,156.5834327987561,nan,0.8580388026893161,14.24263889891611,41.13105011151185,0,56.231727813117274,24.237758626188306,2.5,35,57,0.62508239998715,1,4.5
S2_ample_none_i0_fixed_W,S2,fixed_W,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.05913188888613755,0.10893639997811988,17.555555555555557,158,9,164.52427177458392,nan,0.0588804487349055,1.1324730775488385,3.345274048453771,0,4.5366275747375155,3.9250090872950767,2.500000000000002,27,34,0.6342579000047408,1,4.5
