method,n,geometry_completed,mission_valid,full_window_valid,mission_valid_n,full_valid_n,mean_speed_deficit_all_m,mean_speed_deficit_mission_valid_m,mean_speed_deficit_full_valid_m,mean_prepare_deficit_all_m,mean_execute_deficit_all_m,mean_handoff_deficit_all_m,mean_normal_follow_deficit_all_m,mean_planner_compute_s,p95_planner_compute_s,mean_candidates,mean_empty_action_steps
P,18,12,12,12,12,12,153.01597459500587,90.26965698804678,90.26965698804678,31.716274279359716,15.522576142186747,7.510511737967799,33.27984970103945,0.11195245581956434,0.23015149173734242,48.82046657046657,5.0
S1,18,12,12,10,12,10,187.21222896317872,141.56403854030606,105.523154858031,31.897045249670015,19.23905991009416,10.78168518956725,60.307675879395134,0.11558823007774657,0.22814694998669427,48.82046657046657,6.111111111111111
S2,18,12,11,11,11,11,164.41573811469755,111.19281138225804,111.19281138225804,31.99223584227313,17.934227913588646,9.315352019717325,40.18715960466629,0.1162998808297864,0.25354497000662374,48.699675324675326,6.444444444444445
S3,18,12,11,10,11,10,162.99609035318844,109.08493983693556,119.30001031880637,31.99071758089118,17.712066554597385,9.116647865578525,39.189895617669194,0.11844759065767689,0.24981890048788039,48.699675324675326,6.944444444444445
