run_id,method,ablation,scenario,disturbance,init_variant,stage,speed_deficit_distance_m
S3_collaborative_none_i2,S3,,collaborative,none,2,prepare,3.4057785193890617
S3_collaborative_none_i2,S3,,collaborative,none,2,execute,23.5652988477695
S3_collaborative_none_i2,S3,,collaborative,none,2,handoff,14.015881302057785
S3_collaborative_none_i2,S3,,collaborative,none,2,normal_follow,47.44358904440305
S3_collaborative_none_i2,S3,,collaborative,none,2,failure_handling,0
S3_ample_none_i0,S3,,ample,none,0,prepare,0.04786509994999211
S3_ample_none_i0,S3,,ample,none,0,execute,0.8070249051006337
S3_ample_none_i0,S3,,ample,none,0,handoff,0.3556017640225367
S3_ample_none_i0,S3,,ample,none,0,normal_follow,3.4199352915870547
S3_ample_none_i0,S3,,ample,none,0,failure_handling,0
S3_ample_prepare_i0,S3,,ample,prepare,0,prepare,0.04786509994999211
S3_ample_prepare_i0,S3,,ample,prepare,0,execute,1.815446056626193
S3_ample_prepare_i0,S3,,ample,prepare,0,handoff,0.32000156515132067
S3_ample_prepare_i0,S3,,ample,prepare,0,normal_follow,4.750922296499997
S3_ample_prepare_i0,S3,,ample,prepare,0,failure_handling,0
P_ample_none_i1,P,,ample,none,1,prepare,3.588395307490946
P_ample_none_i1,P,,ample,none,1,execute,24.022850640273806
P_ample_none_i1,P,,ample,none,1,handoff,11.95726220038734
P_ample_none_i1,P,,ample,none,1,normal_follow,33.488901286181985
P_ample_none_i1,P,,ample,none,1,failure_handling,0
P_ample_none_i2,P,,ample,none,2,prepare,1.8847897568209122
P_ample_none_i2,P,,ample,none,2,execute,7.140579458407851
P_ample_none_i2,P,,ample,none,2,handoff,2.6898123795402005
P_ample_none_i2,P,,ample,none,2,normal_follow,4.253424706057909
P_ample_none_i2,P,,ample,none,2,failure_handling,0
P_ample_prepare_i1,P,,ample,prepare,1,prepare,4.004563204064309
P_ample_prepare_i1,P,,ample,prepare,1,execute,24.728812617194905
P_ample_prepare_i1,P,,ample,prepare,1,handoff,11.976047777515767
P_ample_prepare_i1,P,,ample,prepare,1,normal_follow,33.510945335983095
P_ample_prepare_i1,P,,ample,prepare,1,failure_handling,0
P_ample_prepare_i2,P,,ample,prepare,2,prepare,1.8847897568209122
P_ample_prepare_i2,P,,ample,prepare,2,execute,8.217933051377281
P_ample_prepare_i2,P,,ample,prepare,2,handoff,2.7654579075817263
P_ample_prepare_i2,P,,ample,prepare,2,normal_follow,5.1922651426019595
P_ample_prepare_i2,P,,ample,prepare,2,failure_handling,0
P_collaborative_none_i1,P,,collaborative,none,1,prepare,23.6054980375663
P_collaborative_none_i1,P,,collaborative,none,1,execute,65.49181262769339
P_collaborative_none_i1,P,,collaborative,none,1,handoff,27.748416192423743
P_collaborative_none_i1,P,,collaborative,none,1,normal_follow,136.80242750095596
P_collaborative_none_i1,P,,collaborative,none,1,failure_handling,0
P_collaborative_prepare_i1,P,,collaborative,prepare,1,prepare,24.77223152594679
P_collaborative_prepare_i1,P,,collaborative,prepare,1,execute,65.61265846859945
P_collaborative_prepare_i1,P,,collaborative,prepare,1,handoff,27.754009209581152
P_collaborative_prepare_i1,P,,collaborative,prepare,1,normal_follow,136.80647180240837
P_collaborative_prepare_i1,P,,collaborative,prepare,1,failure_handling,0
P_collaborative_prepare_i2,P,,collaborative,prepare,2,prepare,5.293133562784767
P_collaborative_prepare_i2,P,,collaborative,prepare,2,execute,40.54383239087607
P_collaborative_prepare_i2,P,,collaborative,prepare,2,handoff,24.17717676984291
P_collaborative_prepare_i2,P,,collaborative,prepare,2,normal_follow,155.77261821989183
P_collaborative_prepare_i2,P,,collaborative,prepare,2,failure_handling,0
P_short_window_none_i0,P,,short_window,none,0,prepare,56.44471404727112
P_short_window_none_i0,P,,short_window,none,0,execute,0
P_short_window_none_i0,P,,short_window,none,0,handoff,0
P_short_window_none_i0,P,,short_window,none,0,normal_follow,0
P_short_window_none_i0,P,,short_window,none,0,failure_handling,162.00578340176637
P_short_window_none_i1,P,,short_window,none,1,prepare,127.40591574504884
P_short_window_none_i1,P,,short_window,none,1,execute,0
P_short_window_none_i1,P,,short_window,none,1,handoff,0
P_short_window_none_i1,P,,short_window,none,1,normal_follow,0
P_short_window_none_i1,P,,short_window,none,1,failure_handling,245.6791207798106
P_short_window_none_i2,P,,short_window,none,2,prepare,64.8772116368536
P_short_window_none_i2,P,,short_window,none,2,execute,0
P_short_window_none_i2,P,,short_window,none,2,handoff,0
P_short_window_none_i2,P,,short_window,none,2,normal_follow,0
P_short_window_none_i2,P,,short_window,none,2,failure_handling,177.1672622617502
P_short_window_prepare_i0,P,,short_window,prepare,0,prepare,57.714604878178065
P_short_window_prepare_i0,P,,short_window,prepare,0,execute,0
P_short_window_prepare_i0,P,,short_window,prepare,0,handoff,0
P_short_window_prepare_i0,P,,short_window,prepare,0,normal_follow,0
P_short_window_prepare_i0,P,,short_window,prepare,0,failure_handling,162.03310847320571
P_short_window_prepare_i1,P,,short_window,prepare,1,prepare,128.69810767018328
P_short_window_prepare_i1,P,,short_window,prepare,1,execute,0
P_short_window_prepare_i1,P,,short_window,prepare,1,handoff,0
P_short_window_prepare_i1,P,,short_window,prepare,1,normal_follow,0
P_short_window_prepare_i1,P,,short_window,prepare,1,failure_handling,245.68414089114245
P_short_window_prepare_i2,P,,short_window,prepare,2,prepare,66.14937565587054
P_short_window_prepare_i2,P,,short_window,prepare,2,execute,0
P_short_window_prepare_i2,P,,short_window,prepare,2,handoff,0
P_short_window_prepare_i2,P,,short_window,prepare,2,normal_follow,0
P_short_window_prepare_i2,P,,short_window,prepare,2,failure_handling,177.1923134124635
S1_ample_none_i1,S1,,ample,none,1,prepare,4.464366665126228
S1_ample_none_i1,S1,,ample,none,1,execute,36.929166461554914
S1_ample_none_i1,S1,,ample,none,1,handoff,21.9318200890831
S1_ample_none_i1,S1,,ample,none,1,normal_follow,115.50846839008013
S1_ample_none_i1,S1,,ample,none,1,failure_handling,0
S1_ample_none_i2,S1,,ample,none,2,prepare,2.0876686987237902
S1_ample_none_i2,S1,,ample,none,2,execute,13.916682471592932
S1_ample_none_i2,S1,,ample,none,2,handoff,8.478543387607719
S1_ample_none_i2,S1,,ample,none,2,normal_follow,28.386800175257957
S1_ample_none_i2,S1,,ample,none,2,failure_handling,0
S1_ample_prepare_i1,S1,,ample,prepare,1,prepare,4.880534561699592
S1_ample_prepare_i1,S1,,ample,prepare,1,execute,37.63512843847601
S1_ample_prepare_i1,S1,,ample,prepare,1,handoff,21.950605666211523
S1_ample_prepare_i1,S1,,ample,prepare,1,normal_follow,115.52668773357769
S1_ample_prepare_i1,S1,,ample,prepare,1,failure_handling,0
S1_ample_prepare_i2,S1,,ample,prepare,2,prepare,2.0876686987237902
S1_ample_prepare_i2,S1,,ample,prepare,2,execute,14.994036064562364
S1_ample_prepare_i2,S1,,ample,prepare,2,handoff,8.532851683603727
S1_ample_prepare_i2,S1,,ample,prepare,2,normal_follow,29.20715256244892
S1_ample_prepare_i2,S1,,ample,prepare,2,failure_handling,0
S1_collaborative_none_i1,S1,,collaborative,none,1,prepare,23.621810537566297
S1_collaborative_none_i1,S1,,collaborative,none,1,execute,68.18230573112926
S1_collaborative_none_i1,S1,,collaborative,none,1,handoff,31.514390103400853
S1_collaborative_none_i1,S1,,collaborative,none,1,normal_follow,197.80134340936954
S1_collaborative_none_i1,S1,,collaborative,none,1,failure_handling,0
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,prepare,24.788544025946788
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,execute,68.30315157203532
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,handoff,31.51998312000605
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,normal_follow,197.80538540390847
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,failure_handling,0
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,prepare,5.811763153479241
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,execute,45.63284000154522
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,handoff,28.344309812083452
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,normal_follow,199.91670754889992
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,failure_handling,0
S1_short_window_none_i0,S1,,short_window,none,0,prepare,56.44471404727112
S1_short_window_none_i0,S1,,short_window,none,0,execute,0
S1_short_window_none_i0,S1,,short_window,none,0,handoff,0
S1_short_window_none_i0,S1,,short_window,none,0,normal_follow,0
S1_short_window_none_i0,S1,,short_window,none,0,failure_handling,162.00578340176637
S1_short_window_none_i1,S1,,short_window,none,1,prepare,127.40591574504884
S1_short_window_none_i1,S1,,short_window,none,1,execute,0
S1_short_window_none_i1,S1,,short_window,none,1,handoff,0
S1_short_window_none_i1,S1,,short_window,none,1,normal_follow,0
S1_short_window_none_i1,S1,,short_window,none,1,failure_handling,245.6791207798106
S1_short_window_none_i2,S1,,short_window,none,2,prepare,64.8772116368536
S1_short_window_none_i2,S1,,short_window,none,2,execute,0
S1_short_window_none_i2,S1,,short_window,none,2,handoff,0
S1_short_window_none_i2,S1,,short_window,none,2,normal_follow,0
S1_short_window_none_i2,S1,,short_window,none,2,failure_handling,177.1672622617502
S1_short_window_prepare_i0,S1,,short_window,prepare,0,prepare,57.714604878178065
S1_short_window_prepare_i0,S1,,short_window,prepare,0,execute,0
S1_short_window_prepare_i0,S1,,short_window,prepare,0,handoff,0
S1_short_window_prepare_i0,S1,,short_window,prepare,0,normal_follow,0
S1_short_window_prepare_i0,S1,,short_window,prepare,0,failure_handling,162.03310847320571
S1_short_window_prepare_i1,S1,,short_window,prepare,1,prepare,128.69810767018328
S1_short_window_prepare_i1,S1,,short_window,prepare,1,execute,0
S1_short_window_prepare_i1,S1,,short_window,prepare,1,handoff,0
S1_short_window_prepare_i1,S1,,short_window,prepare,1,normal_follow,0
S1_short_window_prepare_i1,S1,,short_window,prepare,1,failure_handling,245.68414089114245
S1_short_window_prepare_i2,S1,,short_window,prepare,2,prepare,66.14937565587054
S1_short_window_prepare_i2,S1,,short_window,prepare,2,execute,0
S1_short_window_prepare_i2,S1,,short_window,prepare,2,handoff,0
S1_short_window_prepare_i2,S1,,short_window,prepare,2,normal_follow,0
S1_short_window_prepare_i2,S1,,short_window,prepare,2,failure_handling,177.1923134124635
S2_ample_none_i1,S2,,ample,none,1,prepare,3.5729021831456484
S2_ample_none_i1,S2,,ample,none,1,execute,26.630032130445905
S2_ample_none_i1,S2,,ample,none,1,handoff,14.551264274926583
S2_ample_none_i1,S2,,ample,none,1,normal_follow,50.5045920076593
S2_ample_none_i1,S2,,ample,none,1,failure_handling,0
S2_ample_none_i2,S2,,ample,none,2,prepare,1.9616324131889216
S2_ample_none_i2,S2,,ample,none,2,execute,10.68264759498358
S2_ample_none_i2,S2,,ample,none,2,handoff,5.637479869164139
S2_ample_none_i2,S2,,ample,none,2,normal_follow,16.32322632002904
S2_ample_none_i2,S2,,ample,none,2,failure_handling,0
S2_ample_prepare_i1,S2,,ample,prepare,1,prepare,3.989051470750784
S2_ample_prepare_i1,S2,,ample,prepare,1,execute,27.333585344134878
S2_ample_prepare_i1,S2,,ample,prepare,1,handoff,14.567346444756753
S2_ample_prepare_i1,S2,,ample,prepare,1,normal_follow,50.49161305076976
S2_ample_prepare_i1,S2,,ample,prepare,1,failure_handling,0
S2_ample_prepare_i2,S2,,ample,prepare,2,prepare,1.9616324131889216
S2_ample_prepare_i2,S2,,ample,prepare,2,execute,11.7635069207779
S2_ample_prepare_i2,S2,,ample,prepare,2,handoff,5.731944920580001
S2_ample_prepare_i2,S2,,ample,prepare,2,normal_follow,17.25526736385055
S2_ample_prepare_i2,S2,,ample,prepare,2,failure_handling,0
S2_collaborative_none_i1,S2,,collaborative,none,1,prepare,23.603219155746554
S2_collaborative_none_i1,S2,,collaborative,none,1,execute,67.29537076966268
S2_collaborative_none_i1,S2,,collaborative,none,1,handoff,29.74765111187896
S2_collaborative_none_i1,S2,,collaborative,none,1,normal_follow,150.13042224037903
S2_collaborative_none_i1,S2,,collaborative,none,1,failure_handling,0
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,prepare,24.769646492381902
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,execute,67.42912481608356
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,handoff,29.766211147859504
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,normal_follow,149.73468949462875
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,failure_handling,0
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,prepare,9.370264932396163
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,execute,52.34788655028065
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,handoff,29.44211294575601
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,normal_follow,160.25321849741027
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,failure_handling,0
S2_short_window_none_i0,S2,,short_window,none,0,prepare,56.44471404727112
S2_short_window_none_i0,S2,,short_window,none,0,execute,0
S2_short_window_none_i0,S2,,short_window,none,0,handoff,0
S2_short_window_none_i0,S2,,short_window,none,0,normal_follow,0
S2_short_window_none_i0,S2,,short_window,none,0,failure_handling,162.00578340176637
S2_short_window_none_i1,S2,,short_window,none,1,prepare,127.40591574504884
S2_short_window_none_i1,S2,,short_window,none,1,execute,0
S2_short_window_none_i1,S2,,short_window,none,1,handoff,0
S2_short_window_none_i1,S2,,short_window,none,1,normal_follow,0
S2_short_window_none_i1,S2,,short_window,none,1,failure_handling,245.6791207798106
S2_short_window_none_i2,S2,,short_window,none,2,prepare,64.8772116368536
S2_short_window_none_i2,S2,,short_window,none,2,execute,0
S2_short_window_none_i2,S2,,short_window,none,2,handoff,0
S2_short_window_none_i2,S2,,short_window,none,2,normal_follow,0
S2_short_window_none_i2,S2,,short_window,none,2,failure_handling,177.1672622617502
S2_short_window_prepare_i0,S2,,short_window,prepare,0,prepare,57.714604878178065
S2_short_window_prepare_i0,S2,,short_window,prepare,0,execute,0
S2_short_window_prepare_i0,S2,,short_window,prepare,0,handoff,0
S2_short_window_prepare_i0,S2,,short_window,prepare,0,normal_follow,0
S2_short_window_prepare_i0,S2,,short_window,prepare,0,failure_handling,162.03310847320571
S2_short_window_prepare_i1,S2,,short_window,prepare,1,prepare,128.69810767018328
S2_short_window_prepare_i1,S2,,short_window,prepare,1,execute,0
S2_short_window_prepare_i1,S2,,short_window,prepare,1,handoff,0
S2_short_window_prepare_i1,S2,,short_window,prepare,1,normal_follow,0
S2_short_window_prepare_i1,S2,,short_window,prepare,1,failure_handling,245.68414089114245
S2_short_window_prepare_i2,S2,,short_window,prepare,2,prepare,66.14937565587054
S2_short_window_prepare_i2,S2,,short_window,prepare,2,execute,0
S2_short_window_prepare_i2,S2,,short_window,prepare,2,handoff,0
S2_short_window_prepare_i2,S2,,short_window,prepare,2,normal_follow,0
S2_short_window_prepare_i2,S2,,short_window,prepare,2,failure_handling,177.1923134124635
