run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_p95_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_completion_t_s,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_handoff_m,speed_deficit_normal_follow_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,empty_action_steps,handoff_duration_s,handoff_min_h_MR_m,completion_relative_v_MR_mps,completion_relative_a_MR_mps2,completion_rear_braking_demand_mps2,recovery_time_s,compute_time_s,mission_valid,full_window_valid,error
P_collaborative_none_i0,P,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1171788888815273,0.19200717997737227,0.2086398999672383,17.555555555555557,158,9,155.6812499999998,4.5,3.0692812500005298,0.7386250000000066,11.040966426506662,7.499692449472988,21.339591347289872,0,40.61887522326953,16.461881821959416,2.5,0,1,0,1.0,4.394531249999898,0.26124999999998266,-0.5499999999999996,0.42500000000000004,1.0,1.1992770000360906,1,1,
P_collaborative_prepare_i2,P,,collaborative,prepare,2,completed,1,1,2.5,5.5,0.0,0.0,11,0.14603285453896123,0.2595387000183109,0.25975010002730414,33.09090909090909,364,11,161.0562499999998,5.0,2.266789010116419,5.293133562784767,40.54383239087607,24.17717676984291,155.77261821989183,0,225.78676094339556,75.62703528676138,2.5,0,30,0,1.0,3.232166055192934,-1.0499999999999439,-0.8500000000000001,1.4249999999999994,1.0,1.7679395000450313,1,1,
P_short_window_none_i1,P,,short_window,none,1,missed_window,0,0,,,0.0,,16,0.09716303125969716,0.11417879999498837,0.12130380002781749,96,1536,16,nan,nan,-0.42695841431270143,127.40591574504884,0,0,0,245.6791207798106,373.08503652485945,141.08738064783097,2.5,0,2,45,nan,nan,nan,nan,nan,nan,1.701527500001248,0,0,no_merge_completion;h_RB_negative
P_ample_none_i0,P,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11704673333507445,0.1865437800064683,0.20101429999340326,17.555555555555557,158,9,164.93753124999995,4.5,1.6158304029232013,0.0,0.0,0.0,3.4472901625591454,0,3.4472901625591454,3.4715775212944684,2.500000000000001,0,5,0,1.0,7.124499999999408,1.1199999999999974,-0.4000000000000001,0.0,1.0,1.2179827999789268,1,1,
