run_id,t_s,event,decision,valid_plan,reason,candidate_count,decision_seconds,action,start_s,completion_s,completion_s_m,completion_t_s,predicted_min_h_m,predicted_min_net_m,execution_margin_mps2,raw_gradient_M,raw_gradient_R,gradient_M,gradient_R,partner_M,partner_R,feedback_M,feedback_R,raw_K_MR,raw_K_RM,raw_W,K_MR,K_RM,W,z_M,z_R,delta_z_M,delta_z_R,base_z_M,base_z_R,proposal_z_M,proposal_z_R,accepted_z_M,accepted_z_R,state_update_accepted,proposal_valid,partner_enabled,feedback_enabled,coupling_ablation,phase
P_collaborative_none_i0,0.0,plan_generated,1,1,,102,0.22699350002221763,new_joint_plan,1.5,155.6812499999998,155.6812499999998,4.5,0.01790625000000201,7.914968749999997,1.4130665335699089,2.14236063179744,3.021050026862092,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.7203125325753532,0.0,0.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2833333333333333,1,1,0,0,,PREPARE
P_collaborative_none_i0,0.5,plan_generated,1,1,,7,0.17866869998397306,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.06106249999999758,7.958124999999993,1.4628821117287067,2.5732366852753485,-1.0170798895860147,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.7352594219529154,0.0,0.0,0.0,0.6166666666666666,0.2833333333333333,-0.050000000000000044,0.0,0.6666666666666666,0.2833333333333333,0.6666666666666666,0.2833333333333333,0.6166666666666666,0.2833333333333333,1,1,0,0,,PREPARE
P_collaborative_none_i0,1.0,plan_generated,1,1,,7,0.16471879999153316,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.017093750000006125,7.939968750000003,1.4628821117287067,2.0463629140436783,2.15706324861662,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.7746013696589711,0.0,0.0,0.0,0.6166666666666666,0.23333333333333334,0.0,-0.04999999999999999,0.6166666666666666,0.2833333333333333,0.6166666666666666,0.2833333333333333,0.6166666666666666,0.23333333333333334,1,1,0,0,,PREPARE
P_collaborative_none_i0,1.5,plan_generated,1,1,,7,0.14829979999922216,hold_and_refine,1.5,157.41193749999988,157.41193749999988,4.5,0.017093750000006125,7.939968750000003,1.5052104000981532,1.8806182352685945,1.4753384255845694,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.7727172590420601,0.0,0.0,0.0,0.5666666666666665,0.23333333333333334,-0.050000000000000044,0.0,0.6166666666666666,0.23333333333333334,0.6166666666666666,0.23333333333333334,0.5666666666666665,0.23333333333333334,1,1,0,0,,EXECUTE
P_collaborative_none_i0,2.0,plan_generated,1,1,,7,0.15710319997742772,hold_and_refine,1.5,157.87759374999987,157.87759374999987,4.5,0.2774375000002429,8.672781250000295,1.5492895388059922,1.4220172597892398,1.143950298188772,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.715802224015182,0.0,0.0,0.0,0.5166666666666665,0.23333333333333334,-0.050000000000000044,0.0,0.5666666666666665,0.23333333333333334,0.5666666666666665,0.23333333333333334,0.5166666666666665,0.23333333333333334,1,1,0,0,,EXECUTE
P_collaborative_none_i0,2.5,plan_generated,1,1,,7,0.12848630000371486,hold_and_refine,1.5,158.17512499999992,158.17512499999992,4.5,0.48721875000032355,8.694906250000312,1.5839904055036405,0.9828750025935414,0.9135036260648646,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.6576843046177381,0.0,0.0,0.0,0.4666666666666665,0.23333333333333334,-0.04999999999999999,0.0,0.5166666666666665,0.23333333333333334,0.5166666666666665,0.23333333333333334,0.4666666666666665,0.23333333333333334,1,1,0,0,,EXECUTE
P_collaborative_none_i0,3.0,plan_generated,1,1,,7,0.10533809999469668,hold_and_refine,1.5,158.3420312499999,158.3420312499999,4.5,1.040125000000364,9.002375000000352,1.617179318941262,0.6581470812584956,0.66149116720166,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.6001185608106125,0.0,0.0,0.0,0.4166666666666665,0.23333333333333334,-0.04999999999999999,0.0,0.4666666666666665,0.23333333333333334,0.4666666666666665,0.23333333333333334,0.4166666666666665,0.23333333333333334,1,1,0,0,,EXECUTE
P_collaborative_none_i0,3.5,plan_generated,1,1,,7,0.06483449996449053,hold_and_refine,1.5,158.3420312499999,158.3420312499999,4.499999999999999,1.8986562500004434,9.641718750000432,1.617179318941262,0.41504137503082694,0.4262002182224224,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.5446285447869179,0.0,0.0,0.0,0.4166666666666665,0.18333333333333335,0.0,-0.04999999999999999,0.4166666666666665,0.23333333333333334,0.4166666666666665,0.23333333333333334,0.4166666666666665,0.18333333333333335,1,1,0,0,,EXECUTE
P_collaborative_none_i0,4.0,plan_generated,1,1,,7,0.05385899997781962,hold_and_refine,1.5,158.3601874999999,158.3601874999999,4.499999999999997,3.0692812500005298,10.593593750000519,1.6289439426425758,0.2584659865716888,0.18900875789769517,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.49298283691401795,0.0,0.0,0.0,0.36666666666666653,0.18333333333333335,-0.04999999999999999,0.0,0.4166666666666665,0.18333333333333335,0.4166666666666665,0.18333333333333335,0.36666666666666653,0.18333333333333335,1,1,0,0,,EXECUTE
P_collaborative_prepare_i0,0.0,plan_generated,1,1,,102,0.2213118000072427,new_joint_plan,1.5,155.6812499999998,155.6812499999998,4.5,0.01790625000000201,7.914968749999997,1.4130665335699089,2.14236063179744,3.021050026862092,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.7203125325753532,0.0,0.0,0.0,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2833333333333333,1,1,0,0,,PREPARE
