method_a,method_b,n_all,n_common_mission,n_common_full,mean_delta_all_m,mean_delta_common_mission_m,mean_delta_common_full_m
P,S1,18,12,10,34.19625436817285,51.294381552259274,48.05891900889239
P,S2,18,11,11,11.399763519691678,16.72576939869127,16.72576939869127
P,S3,18,11,10,9.980115758182565,14.617897853368797,15.996538202516902
S1,S2,18,11,9,-22.796490848481174,-35.003466231620486,-31.5530610970093
S1,S3,18,11,8,-24.216138609990285,-37.11133777694296,-37.48242220652692
S2,S3,18,11,10,-1.4196477615091125,-2.107871545322475,-2.2811487925821363
