run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
C_ample_none_i0,C,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.315766314776862,0,0,0,4,40,2.445794162874412,2.500000000000002,0.11641028419401625,0.1361814999836497,0.0,0.013733613860463484,0.0004782195328938407,0.06286348353212504,0.115625,0.0037404452690633005,0.009727316002450435,0.0,0.29646599568943605,0.04501557632398753,0.04501557632398753,0.07370716413856936,0.07370716413856936,5.587690553485938
C_ample_none_i0_no_space,C,no_space,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.35380708401517,0,0,0,7,49,3.72600261808783,2.5,0.1352155270300692,0.1335389000014402,0.0,0.0,0.0004937156908306423,0.06303348614324511,0.115625,0.0015412642120000719,0.0019909569294300623,0.0,0.29762072622400704,0.04501557632398753,0.04501557632398753,0.30624047160827145,0.30624047160827145,5.630300773265135
C_ample_none_i0_no_W,C,no_W,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.427422509206092,0,0,0,5,49,3.1145699015883856,2.5,0.13404586640055763,0.13989689998561516,0.0,0.012094318777183413,0.0,0.06339036081207584,0.115625,0.002226205239756753,0.00788613076281372,0.0,0.2952081187101586,0.04501557632398753,0.04501557632398753,0.6497314434834314,0.6497314434834314,6.710361338048086
C_ample_none_i0_no_partner,C,no_partner,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.427422509206092,0,0,0,5,49,3.1145699015883856,2.5,0.13404586640055763,0.13872609997633845,0.0,0.012094318777183413,0.0,0.06339036081207584,0.115625,0.002226205239756753,0.00788613076281372,0.0,0.2952081187101586,0.04501557632398753,0.04501557632398753,0.6497314434834314,0.6497314434834314,6.710361338048086
D_ample_none_i0,D,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.39444985998541,0,0,0,4,43,3.57928906980618,2.500000000000001,0.12273189115778807,0.14822640002239496,0.0,0.013252950315965479,0.0004778106593979761,0.06289080493259822,0.115625,0.003740161373229635,0.009730473644522977,0.0,0.2964100127949352,0.039938604239880264,0.05009254840809483,0.19134966277225143,0.19134966277225143,5.800932636490836
D_ample_none_i0_symmetric_k,D,symmetric_k,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.315766314776862,0,0,0,4,40,2.445794162874412,2.500000000000002,0.11641028419401625,0.11207879998255521,0.0,0.013733613860463484,0.0004782195328938407,0.06286348353212504,0.115625,0.0037404452690633005,0.009727316002450435,0.0,0.29646599568943605,0.04501557632398753,0.04501557632398753,0.07370716413856936,0.07370716413856936,5.587690553485938
C_ample_prepare_i2,C,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,4.035892819748551,0,0,75,76,204,4.939394002091731,2.500000000000002,0.6433432390695927,0.13447859999723732,0.0,0.1516572464409625,0.0004837011755873512,0.06273728595518242,0.14375,0.00768778948375192,0.0128752028212574,0.0,0.33114807885737935,0.04978193146417444,0.04978193146417444,92.77945406370067,92.77945406370067,119.41664205419738
C_ample_prepare_i2_no_space,C,no_space,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,3.395138293428613,0,0,79,81,204,5.170281194581518,2.500000000000002,0.6481804764147305,0.13349609996657819,0.0,0.0,0.0005717319436058146,0.06368166870696627,0.140625,0.002515631775628115,0.0016237123597084124,0.0,0.3320557641416582,0.04978193146417444,0.04978193146417444,102.68834830580055,102.68834830580055,125.33422362008085
C_ample_prepare_i2_no_W,C,no_W,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,3.7008662987843595,0,0,76,79,205,5.097088342568857,2.500000000000002,0.6471417898482736,0.1319804000086151,0.0,0.16117589766997856,0.0,0.06326772722318726,0.14375,0.005449093178327194,0.01174980580782096,0.0,0.3296466387377187,0.04978193146417444,0.04978193146417444,99.21180835139168,99.21180835139168,123.32326080458235
C_ample_prepare_i2_no_partner,C,no_partner,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,3.7008662987843595,0,0,76,79,205,5.097088342568857,2.500000000000002,0.6471417898482736,0.1433907999889925,0.0,0.16117589766997856,0.0,0.06326772722318726,0.14375,0.005449093178327194,0.01174980580782096,0.0,0.3296466387377187,0.04978193146417444,0.04978193146417444,99.21180835139168,99.21180835139168,123.32326080458235
