run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
C_ample_none_i0,C,,ample,none,0,B,0.0,0.0,0.10568992120017912,0.5725268967383365,0.007721330492195478,0.0,0.0,2.0,0.0,293.8463470714109,16.958689335925225,nan,16.958689335925225,nan,nan,0.0,0.0,0.0,0.0,22.686828818062324,55.379266994247686,215.78025125910088,0.0
C_ample_none_i1,C,,ample,none,1,M,0.0,0.0,9.419530670800022,7.676242366384333,2.2435277001017973,0.0,0.0,41.0,0.0,305.70091334446715,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.83714534683753,0.0,0.0,205.86376799762962
C_ample_none_i1,C,,ample,none,1,R,0.11918877726522706,0.11918877726522706,0.051703931175041164,0.8203052711503841,0.010948124999999798,0.0,0.0,2.0,0.0,288.6051429893068,16.96658360254504,30.064945544447976,16.96658360254504,nan,nan,0.0037369591371133382,0.0,0.0,0.11545181812811374,84.41779962919648,0.0,0.0,204.1873433601103
C_ample_none_i1,C,,ample,none,1,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,3.0,0.0,288.60536708812697,30.064945544447976,30.064945544447976,nan,nan,nan,0.0,0.0,0.0,0.0,84.29468066638327,0.0,0.0,204.3106864217437
C_ample_none_i1,C,,ample,none,1,B,0.0,0.0,0.11283299574215308,0.656460046249399,0.012090571663026777,0.0,0.0,2.0,0.0,293.83855938676174,16.96658360254504,nan,16.96658360254504,nan,nan,0.0,0.0,0.0,0.0,85.50734804907025,0.0,0.0,208.3312113376915
C_ample_none_i2,C,,ample,none,2,M,13.355763469162657,13.355763469162657,31.115724931154013,13.334218041052157,13.52365980592923,28.0,3.89918748704257,83.0,66.0,288.2887702393468,4.775814532115857,nan,nan,7.644768872494621,4.775814532115857,0.0,0.6273547603091125,12.728408708853546,0.0,37.25260430452846,60.30815131546521,190.7280146193531,0.0
C_ample_none_i2,C,,ample,none,2,R,32.93074093124263,32.93074093124263,58.387409325406416,13.595159424215034,71.78610992731156,41.0,12.552960982887825,95.0,66.0,263.06377572166303,4.775814532115857,27.168072882083703,9.486147117091075,nan,4.775814532115857,0.312316708749284,0.0,32.61842422249335,0.0,30.41975655275604,54.71046975070402,177.93354941820297,0.0
C_ample_none_i2,C,,ample,none,2,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,3.0,66.0,288.60536708812697,7.644768872494621,27.168072882083703,nan,7.644768872494621,nan,0.0,0.0,0.0,0.0,31.066798402829306,54.128336460232674,203.410232225065,0.0
C_ample_none_i2,C,,ample,none,2,B,32.58087245903718,32.58087245903718,19.57609535451789,8.019022826610765,0.0073672113606861635,0.0,0.0,2.0,66.0,258.12369392107826,9.486147117091075,nan,9.486147117091075,nan,nan,0.1820618899573571,0.0,32.398810569079814,0.0,30.475554182969304,55.27560328571957,172.37253645238937,0.0
C_ample_prepare_i0,C,,ample,prepare,0,M,3.844624632291526,3.844624632291526,12.017521611546528,9.603649710806236,4.487995711283721,10.0,1.2636135144979497,60.0,0.0,296.3687233932777,8.372533227032118,nan,nan,8.372533227032118,9.00238968855454,0.0,0.02669300215976236,3.817931630131764,0.0,27.33723624229019,61.33824111365301,207.69324603733452,0.0
C_ample_prepare_i0,C,,ample,prepare,0,R,1.226335841052231,1.226335841052231,0.6165290299127114,2.77978526254448,0.03660874999999893,0.0,0.0,3.0,0.0,287.2800510374129,9.00238968855454,29.703391392859654,16.756261407235808,nan,9.00238968855454,0.0,0.8472891787597177,0.3790466622925132,0.0,22.708682831361045,53.301541982220414,211.26982622383142,0.0
C_ample_prepare_i0,C,,ample,prepare,0,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,32.0,0.0,287.2780981441186,8.372533227032118,29.703391392859654,nan,8.372533227032118,nan,0.0,1.058645102339929,0.09584454583214617,0.0,22.900526214448462,52.97137977890321,211.4061921507669,0.0
C_ample_prepare_i0,C,,ample,prepare,0,B,0.0,0.0,0.11190416443342778,0.9016540332945084,0.007721330492195478,0.0,0.0,2.0,0.0,292.72378963017707,16.756261407235808,nan,16.756261407235808,nan,nan,0.0,0.0,0.0,0.0,22.686828818062324,55.06877493664197,214.96818587547278,0.0
C_ample_prepare_i1,C,,ample,prepare,1,M,0.0,0.0,9.21339484209819,7.795207974985713,2.192596076976765,0.0,0.0,40.0,0.0,303.88311018485854,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.69269811394477,0.0,0.0,204.19041207091377
C_ample_prepare_i1,C,,ample,prepare,1,R,1.3657207023529965,1.3657207023529965,0.6299704982421919,2.4868419765251417,0.010948124999999798,0.0,0.0,2.0,0.0,287.2801576193839,16.76891202963385,29.595889525240164,16.76891202963385,nan,nan,1.0906848031457304,0.0,0.0,0.2750358992072656,84.00982062477439,0.0,0.0,203.2703369946095
C_ample_prepare_i1,C,,ample,prepare,1,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,32.0,0.0,287.2780981441186,29.595889525240164,29.595889525240164,nan,nan,nan,1.089654759049247,0.0,0.0,0.06483488912282824,83.94155529184744,0.0,0.0,203.33654285227115
C_ample_prepare_i1,C,,ample,prepare,1,B,0.0,0.0,0.12716581369563137,1.0253070552876673,0.012090571663026777,0.0,0.0,2.0,0.0,292.71124558975004,16.76891202963385,nan,16.76891202963385,nan,nan,0.0,0.0,0.0,0.0,85.99981342271833,0.0,0.0,206.7114321670317
C_ample_prepare_i2,C,,ample,prepare,2,M,15.317526758926654,15.317526758926654,33.56177068896632,13.329976594918888,14.590442635982372,31.0,4.020934512803524,80.0,75.0,285.56460769317397,4.035892819748551,nan,nan,7.217765923675171,4.035892819748551,0.0,1.042237746104858,14.275289012821798,0.0,37.25102209226708,59.11708714762776,189.19649845327913,0.0
