run_id,t_s,method,ablation,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_physical_m,target_gap_process_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,s_ref_dot_mps,s_ref_ddot_mps2,reference_kind,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,safety_correction_applied,action_saturation_applied,action_correction_reason,F_disturbance_mps2,final_state
A_ample_none_i0,0.1,A,,ample,none,0,B,39.80078125,0.0,18.01875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.248437499999977,30.2,30.2,0.04843749999997726,79.90734375000001,87.35578124999999,7.448437499999983,,,,slot_midpoint,,0.0,PREPARE,0.261506926592443,0.261506926592443,0.261506926592443,0.23013853184886024,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.15,A,,ample,none,0,M,77.29787104492186,3.6,21.964841796875,-0.3281640624999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.270624999999992,30.2,30.2,0.07062499999999261,80.8153125,88.28511787109375,7.4698053710937415,84.55021518554688,18.373053710937498,0.0,slot_midpoint,,0.0,PREPARE,-0.34198681640624784,-0.34198681640624784,-0.34198681640624784,-0.27645507812502856,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.15,A,,ample,none,0,R,67.70218750000001,0.0,18.0375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.270624999999992,30.2,30.2,0.07062499999999261,80.8153125,88.28511787109375,7.4698053710937415,84.55021518554688,18.373053710937498,0.0,slot_midpoint,,0.0,PREPARE,0.45607499999999507,0.45607499999999507,0.45607499999999507,1.6214999999999014,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.15,A,,ample,none,0,F,102.7728125,0.0,18.4625,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.270624999999992,30.2,30.2,0.07062499999999261,80.8153125,88.28511787109375,7.4698053710937415,,,,slot_midpoint,,0.0,PREPARE,-0.3931249999999988,-0.3931249999999988,-0.3931249999999988,-0.3624999999999756,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.15,A,,ample,none,0,B,40.70204563365824,0.0,18.031825346329622,0.261506926592443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.270624999999992,30.2,30.2,0.07062499999999261,80.8153125,88.28511787109375,7.4698053710937415,,,,slot_midpoint,,0.0,PREPARE,0.2601439230142235,0.2601439230142235,0.2601439230142235,-0.02726007156439003,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.2,A,,ample,none,0,M,78.3956856512451,3.6,21.947742456054687,-0.34198681640624784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29081349999998,30.2,30.2,0.09081349999998167,81.72573890625,89.21373623413086,7.487997327880862,85.46973757019043,18.39123456787109,0.0,slot_midpoint,,0.0,PREPARE,-0.3653917531738249,-0.3653917531738249,-0.3653917531738249,-0.4680987353515409,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.2,A,,ample,none,0,R,68.60463259375001,0.0,18.060303750000003,0.45607499999999507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29081349999998,30.2,30.2,0.09081349999998167,81.72573890625,89.21373623413086,7.487997327880862,85.46973757019043,18.39123456787109,0.0,slot_midpoint,,0.0,PREPARE,0.4224979399999876,0.4224979399999876,0.4224979399999876,-0.6715412000001497,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.2,A,,ample,none,0,F,103.69544609375,0.0,18.442843749999998,-0.3931249999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29081349999998,30.2,30.2,0.09081349999998167,81.72573890625,89.21373623413086,7.487997327880862,,,,slot_midpoint,,0.0,PREPARE,-0.37641718749999825,-0.37641718749999825,-0.37641718749999825,0.3341562500000106,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.2,A,,ample,none,0,B,41.60396208087849,0.0,18.044832542480332,0.2601439230142235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.29081349999998,30.2,30.2,0.09081349999998167,81.72573890625,89.21373623413086,7.487997327880862,,,,slot_midpoint,,0.0,PREPARE,0.25975057572861693,0.25975057572861693,0.25975057572861693,-0.007866945712131646,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.25,A,,ample,none,0,M,79.49261603435636,3.6,21.929472868395997,-0.3653917531738249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30894185609061,30.2,30.2,0.10894185609060969,82.63667593012501,90.14180225582703,7.505126325702022,86.38923909297603,18.390606465117916,0.0,slot_midpoint,,0.0,PREPARE,-0.39916407731193226,-0.39916407731193226,-0.39916407731193226,-0.6754464827621476,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.25,A,,ample,none,0,R,69.50817590367501,0.0,18.081428647000003,0.4224979399999876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30894185609061,30.2,30.2,0.10894185609060969,82.63667593012501,90.14180225582703,7.505126325702022,86.38923909297603,18.390606465117916,0.0,slot_midpoint,,0.0,PREPARE,0.39052866030486155,0.39052866030486155,0.39052866030486155,-0.6393855939025206,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.25,A,,ample,none,0,F,104.61711775976562,0.0,18.424022890624997,-0.37641718749999825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30894185609061,30.2,30.2,0.10894185609060969,82.63667593012501,90.14180225582703,7.505126325702022,,,,slot_midpoint,,0.0,PREPARE,-0.3604194570312472,-0.3604194570312472,-0.3604194570312472,0.3199546093750205,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.25,A,,ample,none,0,B,42.506528396222166,0.0,18.057820071266764,0.25975057572861693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30894185609061,30.2,30.2,0.10894185609060969,82.63667593012501,90.14180225582703,7.505126325702022,,,,slot_midpoint,,0.0,PREPARE,0.25897141657253686,0.25897141657253686,0.25897141657253686,-0.01558318312160134,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.3,A,,ample,none,0,M,80.58859072267951,3.6,21.909514664530402,-0.39916407731193226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32513288312519,30.2,30.2,0.12513288312518966,83.54806977485572,91.06953824738994,7.521468472534224,87.30880401112283,18.39167472797728,0.0,slot_midpoint,,0.0,PREPARE,-0.43065063982104457,-0.43065063982104457,-0.43065063982104457,-0.6297312501822461,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.3,A,,ample,none,0,R,70.41273549685039,0.0,18.100955080015247,0.39052866030486155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32513288312519,30.2,30.2,0.12513288312518966,83.54806977485572,91.06953824738994,7.521468472534224,87.30880401112283,18.39167472797728,0.0,slot_midpoint,,0.0,PREPARE,0.36010530633327065,0.36010530633327065,0.36010530633327065,-0.6084670794318181,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.3,A,,ample,none,0,F,105.53786837997558,0.0,18.406001917773434,-0.3604194570312472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32513288312519,30.2,30.2,0.12513288312518966,83.54806977485572,91.06953824738994,7.521468472534224,,,,slot_midpoint,,0.0,PREPARE,-0.34510163010741884,-0.34510163010741884,-0.34510163010741884,0.30635653847656763,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.3,A,,ample,none,0,B,43.40974311405622,0.0,18.07076864209539,0.25897141657253686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32513288312519,30.2,30.2,0.12513288312518966,83.54806977485572,91.06953824738994,7.521468472534224,,,,slot_midpoint,,0.0,PREPARE,0.2578365780917785,0.2578365780917785,0.2578365780917785,-0.02269676961516698,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.35,A,,ample,none,0,M,81.68352814260626,3.6,21.88798213253935,-0.43065063982104457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33950371634256,30.2,30.2,0.13950371634255987,84.45986950335023,91.99694335243785,7.537073849087619,88.22840642789404,18.39223588137699,0.0,slot_midpoint,,0.0,PREPARE,-0.4612281793754702,-0.4612281793754702,-0.4612281793754702,-0.6115507910885132,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.35,A,,ample,none,0,R,71.31823338248407,0.0,18.11896034533191,0.36010530633327065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33950371634256,30.2,30.2,0.13950371634255987,84.45986950335023,91.99694335243785,7.537073849087619,88.22840642789404,18.39223588137699,0.0,slot_midpoint,,0.0,PREPARE,0.3311681261268787,0.3311681261268787,0.3311681261268787,-0.5787436041278393,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.35,A,,ample,none,0,F,106.45773709882663,0.0,18.388746836268062,-0.34510163010741884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33950371634256,30.2,30.2,0.13950371634255987,84.45986950335023,91.99694335243785,7.537073849087619,,,,slot_midpoint,,0.0,PREPARE,-0.3304348108278528,-0.3304348108278528,-0.3304348108278528,0.2933363855913207,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.35,A,,ample,none,0,B,44.3136038418836,0.0,18.08366047099998,0.2578365780917785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33950371634256,30.2,30.2,0.13950371634255987,84.45986950335023,91.99694335243785,7.537073849087619,,,,slot_midpoint,,0.0,PREPARE,0.25637363999110957,0.25637363999110957,0.25637363999110957,-0.029258762013378847,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.4,A,,ample,none,0,M,82.777350714009,3.6,21.864920723570577,-0.4612281793754702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35216603721818,30.2,30.2,0.1521660372181799,85.3720269229817,92.9240391438768,7.552012220895094,89.14803303342924,18.392541277145373,0.0,slot_midpoint,,0.0,PREPARE,-0.4907570880000627,-0.4907570880000627,-0.4907570880000627,-0.5905781724918491,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.4,A,,ample,none,0,R,72.22459535990832,0.0,18.135518751638255,0.3311681261268787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35216603721818,30.2,30.2,0.1521660372181799,85.3720269229817,92.9240391438768,7.552012220895094,89.14803303342924,18.392541277145373,0.0,slot_midpoint,,0.0,PREPARE,0.30365940046441225,0.30365940046441225,0.30365940046441225,-0.5501745132493285,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.4,A,,ample,none,0,F,107.3767613971265,0.0,18.37222509572667,-0.3304348108278528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35216603721818,30.2,30.2,0.1521660372181799,85.3720269229817,92.9240391438768,7.552012220895094,,,,slot_midpoint,,0.0,PREPARE,-0.31639133136766906,-0.31639133136766906,-0.31639133136766906,0.280869589203675,0.0,0.0,0,0,,0.0,
